Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
AMZN,-0.4074417422221031,-0.4047351361893425,-0.40241822985972964,-0.3994378083080059,-0.39619277564001226,-0.3929498386420592,-0.3898661834124679,-0.3866808409914691,-0.3841408097635728,-0.38213102719966047,-0.3789333574173317,-0.3762308222582708
INTC,-0.3185006944412944,-0.31316150124879566,-0.3081047314737948,-0.30272745657674693,-0.2972838588468287,-0.2923347216602848,-0.28610955935234517,-0.2801473403640949,-0.2758609823247238,-0.2717587697761827,-0.2676905366569726,-0.2622444778705298
AMD,-0.15181686788002507,-0.15351383741581998,-0.15613043817713623,-0.1574291820858722,-0.15897460306853467,-0.1579639928288386,-0.16007279438487076,-0.15988069797071996,-0.15928576426217445,-0.16121054559868248,-0.15895799773115116,-0.16000010719794727
TSM,-0.14861946537434306,-0.14638593742654998,-0.1441500997486963,-0.14139639308682939,-0.13851384451759258,-0.13578085391185596,-0.13217446491041407,-0.12859712984822708,-0.12644066184862424,-0.12401675607066914,-0.12092730110016559,-0.11779997413360693
IBM,-0.10913356783293932,-0.10910146851539243,-0.10803455215795488,-0.10667964487156723,-0.10507362217360255,-0.10395853524757853,-0.10139885622588407,-0.10120387459447705,-0.10117267442825906,-0.0996221280568676,-0.09771737862429475,-0.09576965332221049
META,-0.0571903698196195,-0.06591945415295014,-0.07330410534098103,-0.0793928503999316,-0.08481123605375057,-0.0892242574448801,-0.09458741819846828,-0.1027476114052917,-0.1083147912832968,-0.1122022947284686,-0.11362955246407913,-0.11965965899277126
MU,-0.12135930693891267,-0.11339553327479629,-0.10532231737568676,-0.0968735666235141,-0.08833432229691623,-0.08088542489269818,-0.07119700206180679,-0.06230045836658321,-0.05579177588542383,-0.04918220049298078,-0.042624806017685146,-0.03380689946924614
GOOGL,-0.025873124763660493,-0.026009115532864557,-0.02493474281797664,-0.024001226913779317,-0.022096385147796216,-0.021350936162530032,-0.019097435626596104,-0.019164239985087206,-0.019651937044526446,-0.018342598033930013,-0.016772275610465792,-0.015168686290282729
NOW,-0.023343986341715472,-0.022370942592688403,-0.020006879027617053,-0.01720019148541313,-0.01448403267854842,-0.012203706082883292,-0.007592385439364913,-0.004232581218873432,-0.002339482650665081,0.0006058606494388497,0.0044316087582122465,0.009059285608014889
AVGO,0.013531797960236736,0.008195427104393471,0.004092908154984143,0.0005016394119495837,-0.0025070418112455584,-0.005831363915055177,-0.00807357841365941,-0.011616618011507818,-0.015536747425409059,-0.01727868822510842,-0.0178646548079911,-0.0205940502551189
QCOM,-0.05506175690387899,-0.04481810457405433,-0.03465301140360333,-0.024755693974840898,-0.014484499917960025,-0.006075750326080376,0.005119273203194552,0.014297545765349806,0.02114223858591835,0.028651822788131442,0.033816735210771,0.04257704557606595
SAP,-0.03186444569170804,-0.026178859511422126,-0.020142095782471503,-0.013458844145577298,-0.006637789016564755,-0.0007286132468063422,0.007199603013937184,0.013885014369127369,0.018595937932077033,0.024087756850869002,0.029730548490994213,0.03667206588555483
AAPL,-0.02141219922697235,-0.015172374504453467,-0.009186354197840418,-0.0028244968162369766,0.0036813367891906368,0.009603856167030522,0.016658951998118177,0.023358323115608204,0.028249763969193875,0.032989696565850546,0.03802142544171294,0.04435939295022168
AMAT,-0.01085233569539662,-0.0008043696211642026,0.009544071316720526,0.019148165709849896,0.029288642628733486,0.036945854988507554,0.04803485485789355,0.05655657954836463,0.06274498088876168,0.07011443220758001,0.07452057608491025,0.08298356876871876
ADI,-0.0033302375125253136,0.005616138125187298,0.014678345275110027,0.023844538452745312,0.03326066538754158,0.04116093638725149,0.05155784639401273,0.06060650986044486,0.06733634352179696,0.07442890709517169,0.08059709242342777,0.08973818046781928
CSCO,0.03094456385762334,0.035024432320619414,0.03858276663406757,0.04288454285704929,0.04740505937167244,0.052126501863739516,0.05674887673062351,0.061604747763241485,0.06515451771204028,0.068197213272709,0.07262260136507775,0.07653159738007032
TSLA,0.029690599277790664,0.03604312227416234,0.04204462032456824,0.048530858586062264,0.054476442517121526,0.0603104623219316,0.06707124250733587,0.07338953740497045,0.07857902747251361,0.08321399872134294,0.08791379486188045,0.09382935212120475
ADBE,0.043800116638481656,0.047679302637338605,0.05156172615368104,0.05616054543952559,0.06062411377557608,0.06505236711785684,0.0701579109103565,0.07450664678683766,0.07788058848782398,0.08138972296542063,0.08556185350765144,0.08951946430690033
ASML,0.04934189733446437,0.05378825960527861,0.05834024474827759,0.0635824687734195,0.06888097523192471,0.07392468533466595,0.08040327801757252,0.08664912158808152,0.09098313291671994,0.09536444948913697,0.10043557718159768,0.10679731044178797
PANW,0.06139341538016052,0.06737873728145244,0.0733128337673849,0.07963485778538282,0.0861072926745094,0.09185187464957889,0.09907820105233206,0.10606705225606111,0.1108699886126705,0.11577604763881033,0.12108441012610321,0.12769730597763151
ORCL,0.13662794975302828,0.1311669272561608,0.12502731915977577,0.12013284573617145,0.11500025766514427,0.11222434863538966,0.10598133910199492,0.10290848035789973,0.10002139557467088,0.09471599358897131,0.09386342283661486,0.0873703370567544
TXN,0.07380662721662856,0.08131169857056175,0.0889048842165524,0.09685164001565205,0.10493388952495586,0.11206273411754097,0.12119752062855593,0.12910795710505618,0.13502852341516025,0.14128806464374377,0.14729769574989832,0.15527444525144035
ADSK,0.09804300706587932,0.10629232762504176,0.11456288071257309,0.12313802403832558,0.13188099554414995,0.13936035441550132,0.14901896520763658,0.1575580370768313,0.16379926779897158,0.17042056787869914,0.17642589140492726,0.184804894701392
STX,0.1172007674557567,0.1238286176580185,0.1303962021684259,0.1373144847716402,0.14439007322549685,0.1504349469422892,0.1582063880770403,0.16545400658163983,0.1706006693183334,0.17587692835477653,0.18115615204192592,0.18815630322246774
LRCX,0.1573638740201687,0.16298047780237754,0.16857456339547394,0.17473245475675167,0.18092201271036593,0.18647427089172192,0.193654780524667,0.20068859676988343,0.20556739085287928,0.21032901470129278,0.21561550554343956,0.2222476884577987
KLAC,0.25956796753766287,0.2682731064061064,0.27714249962098647,0.2859756906536831,0.29505764141004515,0.30256742189184493,0.31280770084379816,0.32166402204417366,0.3280061676470286,0.3348614605801591,0.3404541479940114,0.34900522689964386
