Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
INTC,-0.32720104562572855,-0.3266120819256948,-0.32598201033837515,-0.3247244090228229,-0.3235480994217585,-0.3230032648813174,-0.3223924562058899,-0.32188536243554394,-0.3208557382612362,-0.31936762643345656,-0.3184084283348564,-0.31764887656519847,-0.3166006358952555,-0.3152897051754188,-0.31393109195602853,-0.3131538573432858,-0.31181937189644265,-0.3111360389350585,-0.3101674855454606,-0.3093971484286378,-0.30877167120655924,-0.3081500530266523,-0.3074078351393486,-0.3069574881718182,-0.3063307395405966,-0.3054736771455738,-0.30474306714532756,-0.3037303937332826,-0.3027807102762831,-0.3017498870870105,-0.3007920815005197,-0.2997277129458251,-0.29903880829093377,-0.298372949899818,-0.2977892007845728,-0.29634406104207156
AMD,-0.17892996170581604,-0.18373754595584696,-0.1882890144838697,-0.1919708848560196,-0.19541744987966597,-0.19818298287655395,-0.20051673967103562,-0.20307825322651313,-0.20522704349044713,-0.20636123022121994,-0.20755983373094433,-0.20900747825610266,-0.2097916989819662,-0.20987907097186437,-0.2103846575980045,-0.21142473033911702,-0.2135698200667812,-0.21648248176168838,-0.219633305970365,-0.2224495995135491,-0.22606940619892735,-0.2297643992519982,-0.233726243079783,-0.2395249309409333,-0.24567736894181252,-0.2512627003187277,-0.25789220359515,-0.2641040398382434,-0.2703769134901301,-0.2771434432471363,-0.28362685176164093,-0.2892923042859278,-0.29612298048130237,-0.30232805099586624,-0.3072070585896204,-0.3124055522869219
TSM,-0.17538267428239523,-0.17646731444812774,-0.17655274264967108,-0.17648402797761847,-0.17585265961031965,-0.17571473530086973,-0.17531940569558907,-0.1763341122127336,-0.17705581974728007,-0.17799950692899663,-0.18042863890187533,-0.18339333395469692,-0.1864563523713611,-0.18919003984002963,-0.19190435515890436,-0.19689975895152,-0.20182968624240244,-0.20789563772275554,-0.21391431930302218,-0.22040866636835593,-0.22816556015284062,-0.23583836003569436,-0.24353149753214326,-0.251554298054403,-0.2594917360819941,-0.26776728069208017,-0.27545050708592894,-0.2845608918005653,-0.29324245820551037,-0.30121007049906573,-0.3098105643568332,-0.3186981113155317,-0.3265242731782432,-0.3361691066043989,-0.3450703541993969,-0.3528325517328932
META,-0.09580104868976691,-0.10380016589559121,-0.11227915683180345,-0.11974485643016641,-0.12657892141101845,-0.13320097721634017,-0.13969946623827206,-0.14495847180997934,-0.14981766366572424,-0.1522655562964051,-0.15569143412789554,-0.15824737827806634,-0.1602801340778927,-0.16146265156781897,-0.1634710380573965,-0.16448397854580776,-0.16520933992264636,-0.1667998197226075,-0.16813731984584723,-0.16867652393474103,-0.16974847276091531,-0.1699106474445633,-0.1712121529356329,-0.1737299883109188,-0.17605476322332853,-0.17827100355463182,-0.18156896943746687,-0.18388999256414817,-0.18668459918273134,-0.1892317818135945,-0.19194159809707123,-0.19529274230252291,-0.19848484194916227,-0.2016214848343273,-0.20456594521524318,-0.2073926943823794
IBM,-0.1410368982718987,-0.14215519167955004,-0.1435293876958933,-0.14481964009547865,-0.1450887358795952,-0.1453302647659691,-0.1455049646883026,-0.14567091556441053,-0.14547140293960087,-0.14467803143570623,-0.14453900245349355,-0.1445671999250831,-0.14432739515894144,-0.1434555203175829,-0.1423197594699953,-0.14220243209065486,-0.14138025619460476,-0.14175909742739412,-0.14191745351972584,-0.14155628395732184,-0.14199254089330238,-0.1422006411983774,-0.14257278724829386,-0.14422038157561146,-0.1458594329951594,-0.14741767666538835,-0.14917235798402867,-0.15097175021694753,-0.15234536197515475,-0.153640194232105,-0.15495327196137954,-0.15600793470290564,-0.1574259488966221,-0.1586944037742115,-0.15960297053145667,-0.1600907598115492
AVGO,-0.03101710958558085,-0.03745546770516989,-0.04310985488170338,-0.04869400555914333,-0.05327672704786207,-0.057473519730359635,-0.06106783722460385,-0.06546154255536901,-0.06995221171091742,-0.07407767184672631,-0.07832075986889786,-0.08277664967205278,-0.08761142383879722,-0.09197484278025059,-0.09681523064337366,-0.10149750692451431,-0.1067649633082125,-0.11280696378285754,-0.11916893608131085,-0.12409637771429333,-0.12976289161028065,-0.13477835355024337,-0.13885487296253834,-0.1434846992576687,-0.1480985238899934,-0.15214948665492561,-0.15617114107625046,-0.15989845717709583,-0.16233803787260187,-0.16562064119622216,-0.16819314280215103,-0.17056536319671534,-0.17335813565608604,-0.1745213784932913,-0.17568210501001624,-0.17713910828492974
MU,-0.15163432468063093,-0.14861653308095396,-0.14554414273674354,-0.14243240452318584,-0.13841707961267075,-0.13518232350650788,-0.13194782533805982,-0.12909432300091156,-0.1257780803528103,-0.12260714251217147,-0.11991831618067084,-0.11757522916293567,-0.11517147115393755,-0.11246191390613447,-0.10966063262060577,-0.10788937763645795,-0.10540820717840593,-0.10391542144646321,-0.10194049028105229,-0.10005713974416225,-0.0984089085821831,-0.0966576199792733,-0.09482314138281761,-0.09326538502340187,-0.09163886095915724,-0.08978960909216732,-0.08781214618313293,-0.0860108106379352,-0.08379126461809,-0.08115770528261007,-0.0787116923250436,-0.07623340018154406,-0.07425994528919333,-0.07218853517662371,-0.07005982880142231,-0.06701193631078994
GOOGL,-0.06699826947710519,-0.06917030064808716,-0.07065396449848105,-0.07239641396503277,-0.07282176946575297,-0.07375703574111858,-0.07480279278712032,-0.07559871419961778,-0.07567143994845937,-0.07525788694644309,-0.07556059568936163,-0.07595031919908452,-0.0755234654108804,-0.07492828603137208,-0.07400191321514049,-0.07417163296367124,-0.07320556591161842,-0.07362051518080237,-0.07343015386689855,-0.07312537757369503,-0.07337135480355023,-0.07277106603854377,-0.07221651709783661,-0.07252582646611166,-0.07300412169316112,-0.07318132837386787,-0.07324053497228555,-0.07346244624900833,-0.07300913110757762,-0.07263156760746897,-0.07208927935205361,-0.07147373818820507,-0.07191088550804814,-0.07171440456932221,-0.07159981833646545,-0.07024353053045373
NOW,-0.06460034135670661,-0.06542131880185609,-0.06612013641791548,-0.06606904485145232,-0.06577256263053832,-0.06467295854206884,-0.06332615352502163,-0.06312045751630385,-0.06257203224286106,-0.06145722158297873,-0.06099067729857838,-0.060513734417661336,-0.06038193046536372,-0.05936543545351136,-0.058891700895060684,-0.05906724939683061,-0.05976430986745579,-0.060411842465830756,-0.06135255128822048,-0.06181065235776301,-0.06318523206957427,-0.06424441135270303,-0.06594307665050242,-0.06770160852470808,-0.06990480812483374,-0.07168564996801524,-0.07392706214618211,-0.07605323410453413,-0.07843187286672904,-0.07990326355467636,-0.08164356009411494,-0.08342844298152902,-0.08513818958013009,-0.0872479771146894,-0.08837449682784637,-0.09044653404388492
SAP,-0.07193933394768232,-0.07043417834634358,-0.06899816446493473,-0.06756894165346533,-0.06584659000112553,-0.06481599272620259,-0.0640078771076939,-0.06321676339481636,-0.062024486098079035,-0.06094566587874911,-0.060143482954715555,-0.05974049399332754,-0.05912837417170608,-0.05869391885930714,-0.05813050797547198,-0.05855088136145198,-0.05827970183407283,-0.05891201507911781,-0.059294376271788796,-0.06000113906983434,-0.06059175972713948,-0.06126379357434836,-0.061699463671327004,-0.06232809853392107,-0.06280508976270588,-0.06340394350464335,-0.06358162700264747,-0.06387773718758583,-0.06402880420058271,-0.06400358369771902,-0.06388357141116086,-0.06354262090452167,-0.06381904081421269,-0.06401095678917873,-0.06427473518048843,-0.06372337164358144
