Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
TSM,-0.38623848508750497,-0.39148688889796435,-0.3957135055374541,-0.39973871916792225,-0.4038162487056249,-0.40758804163189155,-0.4108199467567697,-0.41555769349013927,-0.4200360051548157,-0.4246741878840045,-0.4302171303590727,-0.4361554588428174,-0.44223109612033795,-0.44820407403664064,-0.4541366593658528,-0.4615693590610052,-0.46953834780638976,-0.4779661707820464,-0.48613449446905166,-0.49484823901840574,-0.5046200171440285,-0.5142357363705125,-0.5239629660808676,-0.5338573342847878,-0.5436501082262727,-0.5538707162273755,-0.5634068465859513,-0.5745617028564526,-0.5856222028387177,-0.5961428503060945,-0.6074152109007995,-0.618718626682459,-0.6285915285612823,-0.6407362508319079,-0.6519494367204163,-0.6626915571682703
META,-0.30665685949487664,-0.3188197403454278,-0.3314399197195864,-0.3429995476204702,-0.3545425105063237,-0.36507428354736193,-0.3752000072994527,-0.384182053087385,-0.3927978490732599,-0.398940237251413,-0.40547992558509294,-0.41100950316618684,-0.41605487782686956,-0.42047668576443,-0.4257033422643449,-0.42915357865529297,-0.4329180014866337,-0.43687035278189834,-0.4403574950118767,-0.44311609658479084,-0.44620292975210313,-0.4483080237793814,-0.4516436214843572,-0.45603302454130357,-0.4602131353676071,-0.4643744390899272,-0.4695253089374892,-0.47389080362003544,-0.47906434381593865,-0.48416456162062327,-0.4895462446410376,-0.4953132576694502,-0.5005520973322014,-0.5061886290618363,-0.5114450277362625,-0.5172516998177565
IBM,-0.3518927090770084,-0.35717476612938664,-0.36269015058367626,-0.36807433128578243,-0.37305232497490043,-0.3772035710969909,-0.3810055057494832,-0.3848944968418162,-0.3884515883471365,-0.3913527123907141,-0.3943274939106909,-0.3973293248132036,-0.40010213890791835,-0.40246955451419386,-0.40455206367694374,-0.40687203220014007,-0.4090889177585921,-0.41182963048668497,-0.4141376286857553,-0.41599585660737165,-0.4184469978844902,-0.4205980175331955,-0.42300425579701817,-0.42652341780599623,-0.430017805139438,-0.43352111220068373,-0.43712869748405103,-0.4409725612728348,-0.44472510660836206,-0.44857297403913376,-0.4525579185053459,-0.45602845006983295,-0.4594932042796612,-0.4632615480017205,-0.46648205305247603,-0.46994976524692633
AVGO,-0.24187292039069058,-0.2524750421550065,-0.26227061776948635,-0.2719486967494471,-0.2812403161431673,-0.2893468260613814,-0.2965683782857845,-0.3046851238327747,-0.31293239711845305,-0.3207523528017342,-0.32810925132609525,-0.3355387745601733,-0.34338616758777407,-0.35098887697686154,-0.35904753485032204,-0.3661671070339995,-0.3744736248721998,-0.38287749684214833,-0.3913891112473403,-0.39853595036434314,-0.40621734860146846,-0.41317572988506146,-0.41928634151126265,-0.4257877354880535,-0.432256896034272,-0.438252922190221,-0.4441274805762728,-0.4498992682329831,-0.4547177825058092,-0.4605534210032509,-0.4657977893461174,-0.47058587856364265,-0.4754253910391252,-0.47908852272080027,-0.4825611875310356,-0.4869981137203069
MU,-0.36249013548574066,-0.36363610753079056,-0.3647049056245265,-0.3656870957134896,-0.366380668707976,-0.3670556298375297,-0.36744836639924044,-0.36831790427831723,-0.3687582657603459,-0.36928182346717936,-0.36970680763786823,-0.37033735405105617,-0.37094621490291446,-0.3714759481027454,-0.3718929368275542,-0.37255897774594315,-0.37311686874239325,-0.373985954505754,-0.37416066544708176,-0.37449671239421206,-0.3748633655733709,-0.3750549963140914,-0.3752546099315419,-0.37556842125378664,-0.3757972331034358,-0.3758930446274627,-0.37576848568315524,-0.3760116216938225,-0.3761710092512973,-0.3760904850896388,-0.37631633886900995,-0.3762539155484713,-0.37632720067223246,-0.3767556794041327,-0.3769389113224416,-0.3768709417461671
GOOGL,-0.2778540802822149,-0.28418987509792376,-0.289814727386264,-0.29565110515533655,-0.3007853585610582,-0.30563034207214035,-0.31030333384830094,-0.31482229547702345,-0.318651625355995,-0.32193256790145097,-0.32534908714655897,-0.328712444087205,-0.3312982091598573,-0.3339423202279831,-0.3362342174220889,-0.33884123307315644,-0.34091422747560574,-0.3436910482400932,-0.345650329032928,-0.34756495022374484,-0.34982581179473804,-0.35116844237336187,-0.3526479856465609,-0.3548288626964965,-0.3571624938374397,-0.35928476390916325,-0.36119687447230786,-0.3634632573048956,-0.36538887574078494,-0.3675643474144977,-0.36969392589601996,-0.3714942535551323,-0.3739781408910873,-0.3762815487968312,-0.3784789008574848,-0.3801025359658309
NOW,-0.27545615216181635,-0.2804408932516927,-0.28528089930569844,-0.2893237360417561,-0.29373615172584355,-0.29654626487309066,-0.29882669458620226,-0.3023440387937095,-0.3055522176503967,-0.3081319025379866,-0.3107791687557757,-0.31327585930578183,-0.31615667421434057,-0.3183794696501223,-0.3211240051020091,-0.3237368495063158,-0.3274729714314431,-0.3304823755251216,-0.33357272645424996,-0.3362502250078128,-0.3396396890607621,-0.3426417876875211,-0.3463745451992267,-0.35000464475509285,-0.3540631802691123,-0.3577890855033106,-0.3618834016462045,-0.3660540451604214,-0.37081161749993635,-0.3748360433617051,-0.3792482066380813,-0.38344895834845627,-0.3872054449631692,-0.39181512134219837,-0.39525357934886574,-0.40030553947926206
SAP,-0.28279514475279205,-0.2854537527961802,-0.28815892735271775,-0.2908236328437691,-0.29381017909643076,-0.2966892990572244,-0.2995084181688745,-0.30244034467222203,-0.30500467150561467,-0.307620346833757,-0.3099319744119129,-0.31250261888144804,-0.31490311792068293,-0.31770795305591815,-0.32036281218242035,-0.3232204814709372,-0.32598836339806014,-0.32898254813840866,-0.3315145514378183,-0.33444071171988415,-0.3370462167183273,-0.33966116990916645,-0.3421309322200513,-0.34463113476430585,-0.34696346190698446,-0.3495073790399387,-0.3515379665026698,-0.3538785482434731,-0.35640854883379003,-0.3589363635047478,-0.3614882179551272,-0.363563136271449,-0.3658862961972519,-0.3685781010166877,-0.3711538177015078,-0.3735823770789586
CRM,-0.25490961713958377,-0.2613605427789773,-0.26798830972917675,-0.27368256276327474,-0.27906017468081645,-0.2838446099475387,-0.2880898885022291,-0.2920482396404175,-0.29599630784703757,-0.29882607752672224,-0.3011501049082421,-0.30360645292755933,-0.30596959926212963,-0.30813886532092694,-0.31096386784120367,-0.3132154279621908,-0.3164217231364509,-0.3202042293649908,-0.3241294449351142,-0.3277871528684907,-0.33126175217169257,-0.33480151324514656,-0.33868362963563625,-0.34290814577889484,-0.34764810085391706,-0.3519732392247536,-0.356863934373405,-0.36133746004145595,-0.36635666972336334,-0.3712964169978732,-0.37649808575665555,-0.38102129119572603,-0.38649929900952795,-0.39161869840515257,-0.39542151301352435,-0.40033400946811815
QCOM,-0.3034159906105027,-0.30313105266686624,-0.30297691912497715,-0.30252013472436295,-0.30230737009491093,-0.3020621518055304,-0.3015321569822641,-0.3016719211212258,-0.30165778008289174,-0.30167537677956363,-0.3015118965198267,-0.30185188281442016,-0.3021800702934717,-0.3025292541786262,-0.30280826041667397,-0.3033275886233952,-0.30400419403925066,-0.3045309290930628,-0.3047091854776694,-0.3052905461350016,-0.30586383400122946,-0.306833818256012,-0.3073784778565094,-0.30794663740394346,-0.3085809522588623,-0.3092164717107027,-0.3098413648883771,-0.31069535483919286,-0.3117630251351283,-0.3132388511553661,-0.31469397058014814,-0.315714845769278,-0.31683842376112514,-0.31847539953662607,-0.3202211576162105,-0.3213616696124358
