Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
INTC,-0.2831472392912545,-0.2802711135965541,-0.27715446349698136,-0.27429653744985194,-0.27245151383624727,-0.27103196126480056,-0.2698031087648414,-0.26906070407253213,-0.26783961582173427,-0.2672162298617422,-0.2670468148838116,-0.26680454852575963,-0.2664057803821027,-0.2661648740511029,-0.26519952832177324,-0.2646080294905802,-0.2631063103239791,-0.2610023426293585,-0.25825821577637587,-0.2560495682101969,-0.2539643760260545,-0.25174591611632385,-0.24915567405243666,-0.24635237862330817,-0.2428410108309581,-0.23960387345611556,-0.2358354722719449,-0.23239374474771396,-0.2288037851861271,-0.22538624989616607,-0.22189864228783052,-0.21872693711702634,-0.21460676466444495,-0.2113213957221744,-0.20924677029206784,-0.20586905700933056
AMD,-0.134876155371342,-0.13739657762670626,-0.1394614676424759,-0.14154301328304864,-0.14432086429415475,-0.1462116792600371,-0.14792739222998713,-0.15025359486350132,-0.1522109210509452,-0.15420983364950558,-0.15619822027989955,-0.15816315021666383,-0.15959684346881342,-0.16075423984754844,-0.16165309396374922,-0.1628789024864114,-0.16485675849431763,-0.1663487854559884,-0.1677240362012803,-0.1691020192951082,-0.1712621110184226,-0.17336026234166974,-0.17547408199287107,-0.17891982139242324,-0.18218764023217404,-0.1853928966292695,-0.18898460872176737,-0.19276739085267475,-0.19639998839997408,-0.20077980605629187,-0.20473341254895172,-0.208291528457129,-0.21169093685481355,-0.21527649681822264,-0.2186646280971154,-0.2219305482541809
TSM,-0.1313288679479212,-0.13012634611898705,-0.1277251958082773,-0.1260561564046475,-0.12475607402480843,-0.12374343168435287,-0.12273005825454059,-0.12350945384972178,-0.12403969730777814,-0.12584811035728227,-0.12906702545083054,-0.1325490059152581,-0.13626149685820832,-0.1400652087157137,-0.14317279152464907,-0.1483539310988144,-0.15311662466993886,-0.15776194141705557,-0.16200504953393746,-0.16706108614991505,-0.17335826497233586,-0.1794342231253659,-0.1852793364452313,-0.19094918850589293,-0.19600200737235562,-0.20189747700262195,-0.20654291221254628,-0.2132242428149967,-0.21926553311535435,-0.2248464333082213,-0.23091712514414398,-0.23769733548673294,-0.24209222955175436,-0.24911755242675532,-0.2565279237068919,-0.2623575477001522
META,-0.05174724235529288,-0.057459197566450515,-0.06345160999040966,-0.06931698485719545,-0.07548233582550723,-0.0812296735998233,-0.08711011879722358,-0.09213381344696753,-0.09680154122622231,-0.10011415972469073,-0.10432982067685076,-0.1074030502386275,-0.11008527856473993,-0.11233782044350304,-0.1147394744231412,-0.11593815069310215,-0.11649627835018278,-0.11666612341690752,-0.11622805007676251,-0.11532894371630015,-0.11494117758041056,-0.11350651053423483,-0.11295999184872096,-0.11312487876240873,-0.11256503451369004,-0.1124011998651736,-0.1126613745640842,-0.11255334357857955,-0.11270767409257532,-0.11286814462275008,-0.11304815888438202,-0.11429196647372414,-0.11405279832267345,-0.1145699306566837,-0.1160235147227382,-0.11691769034963839
IBM,-0.09698309193742466,-0.09581422335040934,-0.09470184085449951,-0.09439176852250769,-0.09399215029408398,-0.09335896114945225,-0.09291561724725411,-0.09284625720139872,-0.09245528050009894,-0.09252663486399187,-0.09317738900244876,-0.09372287188564427,-0.09413253964578866,-0.09433068919326698,-0.09358819583574002,-0.09365660423794925,-0.09266719462214118,-0.09162540112169415,-0.09000818375064112,-0.08820870373888096,-0.08718524571279762,-0.08579650428804891,-0.08432062616138192,-0.0836152720271014,-0.08236970428552093,-0.08154787297593014,-0.08026476311064601,-0.0796351012313789,-0.07836843688499873,-0.07727655704126057,-0.07605983274869033,-0.07500715887410686,-0.07299390527013327,-0.07164284959656791,-0.07106054003895168,-0.06961575577880819
AVGO,0.013036696748893184,0.00888550062397081,0.0057176919596904074,0.001733866013827634,-0.0021801414623508486,-0.005502216113842773,-0.008478489783555365,-0.0126368841923572,-0.01693608927141549,-0.021926275275011953,-0.026959146417853075,-0.03193232163261395,-0.03741656832564444,-0.04285001165593466,-0.04808366700911837,-0.0529516790718087,-0.05805190173574892,-0.06267326747715757,-0.06725966631222613,-0.07074879749585244,-0.0749555964297759,-0.0783742166399149,-0.0806027118756264,-0.08287958970915865,-0.08460879518035491,-0.0862796829654674,-0.0872635462028678,-0.0885618081915272,-0.08836111278244585,-0.08925700400537773,-0.08929970358946182,-0.08956458736791656,-0.08892609202959723,-0.0874698243156477,-0.08713967451751126,-0.08666410425218873
MU,-0.1075805183461569,-0.10227556475181326,-0.09671659589534976,-0.09200453295021488,-0.08732049402715952,-0.08321101988999102,-0.07935847789701134,-0.07626966463789975,-0.07276195791330836,-0.07045574594045712,-0.06855670272962605,-0.06673090112349683,-0.06497661564078477,-0.06333708278181854,-0.060929068986350476,-0.059343549783752336,-0.056695145605942354,-0.05378172514076324,-0.05003122051196757,-0.04670955952572137,-0.04360161340167834,-0.04025348306894483,-0.036570980295905664,-0.03266027547489181,-0.02814913224951876,-0.023919805402709104,-0.018904551309750273,-0.014674161652366569,-0.00981433952793398,-0.004794068091765635,0.00018174688764560631,0.004767375647254712,0.010172098337295488,0.014863019001019884,0.01848260169108268,0.02346306772195106
GOOGL,-0.022944463142631155,-0.02282933231894646,-0.02182641765708726,-0.021968542392061807,-0.02172518388024175,-0.02178573212460172,-0.022213445346071836,-0.022774055836605966,-0.02265531750895744,-0.023106490374728728,-0.024198982238316846,-0.02510599115964568,-0.025328609897727616,-0.025803454907056156,-0.0252703495808852,-0.025625805110965627,-0.02449250433915484,-0.0234868188751024,-0.02152088409781383,-0.019777797355254145,-0.01856405962304547,-0.016366929128215302,-0.013964356010924661,-0.011920716917601604,-0.009514392983522635,-0.007311524684409654,-0.004332940098902893,-0.0021257972634396993,0.0009677939825784021,0.0037320695833754636,0.006804159860635595,0.009527037640593705,0.012521158118440678,0.015337149608321388,0.016942612156039538,0.020231473502287267
NOW,-0.02054653502223258,-0.01908035047271539,-0.01729258957652169,-0.015641173278481357,-0.0146759770450271,-0.012701654925551975,-0.01073680608397315,-0.01029579915329204,-0.00955590980335913,-0.009305825011264368,-0.009629063847533592,-0.0096694063782225,-0.01018707495221094,-0.010240604329195435,-0.01016013726080539,-0.010521421544124998,-0.01105124829499221,-0.010278146160130786,-0.00944328151913576,-0.008463072139322125,-0.008377936889069515,-0.007840274442374562,-0.0076909155635904725,-0.007096498976198018,-0.006415079415195257,-0.005815846278557024,-0.005019467272799449,-0.0047165851189654995,-0.004454947776573015,-0.003539626363831927,-0.0027501208814257327,-0.0024276671527302396,-0.0007061459536412684,-0.00019642293704580371,0.00016793366465861492,2.846998885608354e-05
SAP,-0.027885527613208283,-0.024093210017202882,-0.020170617623540943,-0.01714107008049437,-0.014750004415614304,-0.012844689109685725,-0.011418529666645416,-0.010392105031804544,-0.009008363658577101,-0.008794269307034752,-0.00878186950367077,-0.008896165953888702,-0.008933518658553297,-0.00956908773499121,-0.009398944341216686,-0.010005053508746364,-0.00956664026160925,-0.008778318773417837,-0.007385106502704075,-0.00665355885139346,-0.005784464546634727,-0.004859656664019885,-0.0034473025844150573,-0.0017229889854110114,0.0006846389469326031,0.002465860184814872,0.005325967870735193,0.0074589117979828035,0.009948120889573309,0.012360053493125411,0.015009867801528354,0.017458154924277103,0.020613002812276127,0.023040597388464867,0.024267695312016557,0.026751632389159563
