Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
TSM,-0.19710285668188682,-0.20125783721312285,-0.20436696765010975,-0.207737679607711,-0.21108135535040545,-0.2144731947072951,-0.21763097345115628,-0.22196169942150895,-0.22619709072818223,-0.23083537865202614,-0.2363330502589785,-0.24204492600850802,-0.2478442577068115,-0.2536841943459334,-0.25950223515731663,-0.26665884559958813,-0.2743130364203987,-0.28226961385828564,-0.29027183541764967,-0.29898213428017234,-0.3085227940906444,-0.3180409355256957,-0.3277433666700274,-0.33743421099552023,-0.34710357504739964,-0.35731135377025663,-0.3668809393120288,-0.37806624537194455,-0.38915921859353575,-0.3999894988615579,-0.41142582866439537,-0.4231714266842868,-0.4334790174289208,-0.44600285564010655,-0.4578299550541939,-0.4694174468127157
META,-0.1175212310892585,-0.12859068866058632,-0.14009338183224213,-0.15099850806025894,-0.16180761715110425,-0.17195943662276553,-0.18201103399383928,-0.1905860590187547,-0.1989589346466264,-0.2051014280194346,-0.2115958454849987,-0.21689897033187744,-0.22166803941334312,-0.22595680607372276,-0.23106891805580876,-0.2342430651938759,-0.23769269010064265,-0.24117379585813759,-0.24449483596047472,-0.24724999184655744,-0.2501057066987191,-0.2521132229345646,-0.25542402207351705,-0.25960990125203603,-0.26366660218873406,-0.2678150766328083,-0.27299940166356673,-0.2773953461355274,-0.2826013595707567,-0.28801121017608666,-0.2935568624046334,-0.299766057671278,-0.3054395861998399,-0.31145523387003493,-0.31732554607004015,-0.3239775894622019
IBM,-0.16275708067139028,-0.16694571444454515,-0.17134361269633197,-0.17607329172557118,-0.180317431619681,-0.18408872417239447,-0.1878165324438698,-0.19129850277318589,-0.19461267392050302,-0.19751390315873574,-0.20044341381059672,-0.2032187919788942,-0.20571530049439185,-0.2079496748234867,-0.20991763946840758,-0.211961518738723,-0.21386360637260105,-0.21613307356292422,-0.21827496963435333,-0.22012975186913825,-0.22234977483110618,-0.2244032166883787,-0.226784656386178,-0.2301002945167287,-0.23347127196056494,-0.23696174974356482,-0.24060279021012854,-0.24447710378832677,-0.24826212236318013,-0.25241962259459716,-0.2565685362689417,-0.26048125007166073,-0.26438069314729973,-0.26852815280991915,-0.27236257138625364,-0.2766756548913717
AVGO,-0.05273729198507243,-0.06224599047016499,-0.07092407988214205,-0.07994765718923585,-0.08850542278794787,-0.096231979136785,-0.10337940498017106,-0.11108912976414437,-0.11909348269181957,-0.12691354356975582,-0.13422517122600103,-0.14142824172586388,-0.14899932917424763,-0.15646899728615438,-0.16441311064178593,-0.17125659357258244,-0.1792483134862088,-0.18718093991838763,-0.19552645219593834,-0.20266984562610973,-0.21012012554808446,-0.21698092904024469,-0.2230667421004225,-0.22936461219878596,-0.23571036285539892,-0.24169355973310208,-0.24760157330235033,-0.25340381074847507,-0.25825479826062725,-0.2644000695587143,-0.2698084071097132,-0.27503867856547043,-0.2803128799067637,-0.28435512752899894,-0.2884417058648132,-0.29372400336475224
MU,-0.1733545070801225,-0.17340705584594907,-0.17335836773718222,-0.17368605615327837,-0.17364577535275655,-0.17394078291293325,-0.17425939309362704,-0.17472191020968691,-0.17491935133371245,-0.17544301423520098,-0.175822727537774,-0.17622682121674677,-0.17655937648938796,-0.17695606841203826,-0.17725851261901804,-0.17764846428452608,-0.17789155735640222,-0.1782893975819933,-0.17829800639567978,-0.17863060765597866,-0.1787661425199869,-0.17886019546927462,-0.17903501052070175,-0.1791452979645191,-0.17925069992456277,-0.1793336821703438,-0.1792425784092328,-0.17951616420931443,-0.17970802500611538,-0.17993713364510222,-0.18032695663260578,-0.18070671555029916,-0.18121468953987097,-0.18202228421233135,-0.18281942965621928,-0.18359683139061245
GOOGL,-0.08871845187659677,-0.09396082341308226,-0.09846818949891972,-0.1036500655951253,-0.10805046520583877,-0.11251549514754394,-0.11711436054268753,-0.12122630140839313,-0.12481271092936153,-0.1280937586694726,-0.1314650070464648,-0.1346019112528956,-0.1369113707463308,-0.13942244053727587,-0.14159979321355276,-0.14393071961173937,-0.1456889160896147,-0.14799449131633247,-0.14978766998152604,-0.15169884548551144,-0.15372858874135403,-0.1549736415285451,-0.15642838623572075,-0.1584057394072289,-0.16061596065856665,-0.16272540145204434,-0.16467096719838542,-0.16696779982038756,-0.168925891495603,-0.17141099596996112,-0.1737045436596158,-0.17594705355696016,-0.17886562975872577,-0.18154815360502985,-0.18435941919126242,-0.18682842561027624
NOW,-0.0863205237561982,-0.09021184156685119,-0.09393436141835415,-0.09732269648154485,-0.10100125837062413,-0.1034314179484942,-0.10563772128058885,-0.10874804472507921,-0.11171330322376322,-0.11429309330600823,-0.11689508865568154,-0.11916532647147243,-0.12176983580081413,-0.12385958995941515,-0.12648958089347295,-0.12882633604489874,-0.13224766004545208,-0.13478581860136085,-0.13771006740284797,-0.14038412026957942,-0.14354246600737808,-0.14644698684270435,-0.15015494578838656,-0.15358152146582532,-0.15751664709023927,-0.1612297230461917,-0.16535749437228198,-0.16955858767591336,-0.17434863325475441,-0.1786826919171685,-0.18325882440167712,-0.1879017583502841,-0.19209293383080772,-0.19708172615039704,-0.20113409768264334,-0.20703142912370742
SAP,-0.0936595163471739,-0.09522470111133868,-0.0968123894653734,-0.09882259328355786,-0.10107528574121133,-0.10357445213262795,-0.10631944486326111,-0.10884435060359171,-0.11116575707898119,-0.11378153760177862,-0.11604789431181872,-0.11839208604713863,-0.12051627950715649,-0.12318807336521093,-0.12572838797388425,-0.1283099680095201,-0.13076305201206911,-0.1332859912146479,-0.13565189238641628,-0.13857460698165075,-0.1409489936649433,-0.14346636906434967,-0.14591133280921115,-0.14820801147503831,-0.1504169287281114,-0.1529480165828198,-0.15501205922874733,-0.15738309075896506,-0.1599455645886081,-0.16278301206021117,-0.16549883571872304,-0.16801593627327677,-0.17077378506489033,-0.17384470582488637,-0.1770343360352854,-0.18030826672340394
CRM,-0.06577398873396562,-0.0711314910941358,-0.07664177184183246,-0.08168152320306349,-0.08632528132559703,-0.09072976302294222,-0.0949009151966157,-0.09845224557178717,-0.10215739342040409,-0.10498726829474386,-0.10726602480814795,-0.10949592009324993,-0.11158276084860319,-0.11361898563021972,-0.11632944363266756,-0.11830491450077374,-0.12119641175045986,-0.12450767244123007,-0.1282667858837122,-0.1319210481302573,-0.13516452911830856,-0.1386067124003298,-0.1424640302247961,-0.1464850224896273,-0.151101567675044,-0.15541387676763468,-0.16033802709948253,-0.16484200255694786,-0.1698936854781814,-0.17514306555333659,-0.1805087035202514,-0.18547409119755387,-0.19138678787716645,-0.19688530321335124,-0.20130203134730196,-0.2070598991125635
QCOM,-0.11428036220488452,-0.11290200098202474,-0.1116303812376328,-0.1105190951641517,-0.1095724767396915,-0.10894730488093401,-0.10834318367665069,-0.1080759270525955,-0.10781886565625826,-0.10783656754758525,-0.10762781641973246,-0.10774134998011076,-0.10779323187994527,-0.10800937448791897,-0.10817383620813786,-0.10841707516197813,-0.10877888265325963,-0.10883437216930203,-0.10884652642626741,-0.10942444139676821,-0.10976661094784546,-0.11063901741119525,-0.11115887844566924,-0.11152351411467593,-0.11203441907998923,-0.1126571092535838,-0.1133154576144546,-0.11419989735468483,-0.11530004088994639,-0.11708549971082949,-0.11870458834374398,-0.12016764577110584,-0.12172591262876359,-0.12374200434482474,-0.12610167594998817,-0.12808755925688114
