Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
META,-0.19184320031926744,-0.20116890054729827,-0.21099832126107185,-0.22011287727423354,-0.22915448403337615,-0.23764439085648772,-0.24615911941807064,-0.25289321603287973,-0.2593987954353897,-0.26386797564775755,-0.2686072509370463,-0.2726617329489942,-0.27587161056821574,-0.27886720590051894,-0.28266175796935356,-0.2849087104827566,-0.28733847897867426,-0.29004252934657676,-0.2926880818186458,-0.29512272891227714,-0.2976503231263672,-0.2994338690434824,-0.30270704256592706,-0.30700566191933515,-0.3114490769409094,-0.3159693683843849,-0.3215159934508669,-0.3263671998657014,-0.33201836786091105,-0.3381634082691487,-0.34436853006487833,-0.35107756656163525,-0.3570215556118581,-0.36384836776964347,-0.3702856402035344,-0.3771356657104177
IBM,-0.23707904990139922,-0.2395239263312571,-0.2422485521251617,-0.24518766093954578,-0.2476642985019529,-0.24977367840611667,-0.2519646178681012,-0.253605659787311,-0.25505253470926637,-0.25628045078705863,-0.25745481926264424,-0.25898155459601097,-0.25991887164926447,-0.2608600746502829,-0.2615104793819524,-0.2626271640276037,-0.26350939525063266,-0.2650018070513634,-0.2664682154925244,-0.26800248893485795,-0.26989439125875425,-0.2717238627972965,-0.274067676878588,-0.2774960551840278,-0.2812537467127403,-0.2851160414951414,-0.2891193819974287,-0.29344895751850075,-0.29767913065333446,-0.3025718206876592,-0.30738020392918664,-0.31179275896201797,-0.31596266255931793,-0.3209212867095277,-0.32532266551974787,-0.32983373113958747
AVGO,-0.12705926121508138,-0.13482420235687695,-0.14182901931097178,-0.14906202640321045,-0.15585228967021977,-0.1619169333705072,-0.16752749040440243,-0.17339628677826943,-0.1795333434805829,-0.18568009119807874,-0.19123657667804858,-0.19719100434298065,-0.20320290032912025,-0.20937939711295056,-0.2160059505553307,-0.22192223886146317,-0.2288941023642404,-0.2360496734068268,-0.24371969805410942,-0.25054258269182944,-0.2576647419757325,-0.26430157514916247,-0.2703497625928325,-0.27676037286608507,-0.28349283760757427,-0.2898478514846787,-0.2961181650896505,-0.30237566447864905,-0.3076718065507816,-0.31455226765177635,-0.32062007476995813,-0.32635018745582767,-0.3318948493187819,-0.3367482614286075,-0.34140179999830744,-0.346882079612968
MU,-0.24767647631013145,-0.24598526773266102,-0.24426330716601194,-0.24280042536725296,-0.24099264223502845,-0.23962573714665544,-0.2384074785178584,-0.23702906722381198,-0.23535921212247576,-0.2342095618635239,-0.23283413298982156,-0.23198958383386353,-0.23076294764426059,-0.22986646823883444,-0.2288513525325628,-0.2283141095734068,-0.22753734623443383,-0.22715813107043248,-0.22649125225385086,-0.22650334472169836,-0.226310758947635,-0.2261808415781924,-0.22631803101311174,-0.22654105863181823,-0.22703317467673811,-0.22748797392192038,-0.227759170196533,-0.22848801793948845,-0.2291250332962697,-0.23008933173816426,-0.23113862429285068,-0.23201822444065637,-0.23279665895188917,-0.2344154181119399,-0.23577952378971348,-0.23675490763882825
GOOGL,-0.16304042110660572,-0.16653903529979422,-0.16937312892774944,-0.1727644348090999,-0.17539733208811067,-0.17820044938126614,-0.1812624459669189,-0.1835334584225182,-0.18525257171812484,-0.18686030629779551,-0.18847641249851235,-0.19036467387001238,-0.19111494190120343,-0.19233284036407206,-0.19319263312709753,-0.1945963649006201,-0.19533470496764632,-0.19686322480477164,-0.19798091583969712,-0.19957158255123114,-0.20127320516900213,-0.20229428763746288,-0.20371140672813073,-0.20580150007452802,-0.208398435410742,-0.21087969320362093,-0.21318755898568562,-0.21593965355056158,-0.21834289978575733,-0.22156319406302316,-0.2245162113198607,-0.22725856244731737,-0.23044759917074398,-0.23394128750463838,-0.23731951332475662,-0.23998650185849205
NOW,-0.16064249298620714,-0.16279005345356315,-0.16483930084718387,-0.16643706569551944,-0.16834812525289602,-0.1691163721822164,-0.1697858067048202,-0.17105520173920427,-0.17215316401252653,-0.17305964093433115,-0.1739064941077291,-0.1749280890885892,-0.17597340695568675,-0.17676998978621133,-0.17808242080701772,-0.17949198133377947,-0.1818934489234837,-0.18365455208980003,-0.18590331326101905,-0.18825685733529912,-0.19108708243502617,-0.19376763295162214,-0.19743796628079655,-0.20097728213312444,-0.2052991218424146,-0.2093840147977683,-0.21387408615958217,-0.21853044140608738,-0.22376564154490874,-0.22883489001023055,-0.23407049206192201,-0.23921326724064132,-0.24367490324282592,-0.24947486005000558,-0.25409419181613757,-0.2601895053719232
SAP,-0.16798148557718284,-0.16780291299805064,-0.16771732889420313,-0.16793696249753245,-0.16842215262348323,-0.16925940636635015,-0.17046753028749248,-0.17115150761771677,-0.1716056178677445,-0.17254808523010154,-0.17305929976386628,-0.1741548486642554,-0.1747198506620291,-0.1760984731920071,-0.17732122788742902,-0.17897561329840084,-0.18040884089010073,-0.18215472470308708,-0.18384513824458737,-0.18644734404737046,-0.18849361009259138,-0.19078701517326746,-0.19319435330162113,-0.19560377214233743,-0.19819940348028675,-0.2011023083343964,-0.20352865101604753,-0.20635494448913907,-0.20936257287876242,-0.2129352101532732,-0.21631050337896793,-0.21932744516363398,-0.22235575447690853,-0.2262378397244949,-0.2299944301687796,-0.23346634297161975
CRM,-0.14009595796397456,-0.14370970298084776,-0.14754671127066218,-0.15079589241703809,-0.15367214820786892,-0.15641471725666442,-0.15904900062084706,-0.16075940258591223,-0.1625972542091674,-0.1637538159230668,-0.1642774302601955,-0.1652586827103667,-0.1657863320034758,-0.1665293854570159,-0.16792228354621233,-0.16897055978965447,-0.17084220062849148,-0.17337640592966924,-0.1764600317418833,-0.179793785195977,-0.18270914554595666,-0.18592735850924758,-0.18974705071720607,-0.19388078315692642,-0.19888404242721935,-0.20356816851921128,-0.20885461888678272,-0.21381385628712188,-0.21931069376833573,-0.22529526364639862,-0.23132037118049628,-0.23678560008791108,-0.24296875728918466,-0.24927843711295977,-0.2542621254807962,-0.2602179753607793
QCOM,-0.18860233143489347,-0.1854802128687367,-0.18253532066646252,-0.1796334643781263,-0.1769193436219634,-0.1746322591146562,-0.17249126910088206,-0.17038308406672056,-0.16825872644502157,-0.16660311517590817,-0.16463922187178,-0.16350411259722752,-0.1619968030348179,-0.16091977431471516,-0.15976667612168263,-0.15908272045085886,-0.15842467153129125,-0.1577031056577412,-0.1570397722844385,-0.15729717846248792,-0.15731122737549355,-0.15795966352011304,-0.15844189893807922,-0.15891927478197504,-0.15981689383216457,-0.1608114010051604,-0.1618320494017548,-0.16317175108485885,-0.16471704918010072,-0.16723769780389153,-0.16951625600398887,-0.17147915466146305,-0.1733078820407818,-0.17613513824443328,-0.17906177008348237,-0.18124563550509695
AAPL,-0.15874615793678337,-0.15824997311116137,-0.15792375161922376,-0.15779260378102647,-0.15757647345974454,-0.15754081343774898,-0.1575504458197877,-0.1573200953110739,-0.1570244258167596,-0.15710381145874006,-0.15686101021518997,-0.15710952976716985,-0.15692975807048748,-0.1571223637575454,-0.15723090368662132,-0.15768073316787945,-0.15787571139646833,-0.1581819696868882,-0.1584918228805305,-0.15925148736163447,-0.1597821389067884,-0.16039887062790303,-0.16120823532552472,-0.1620991590066071,-0.16340680900966148,-0.16483174989494837,-0.1660577073562923,-0.16767043231785841,-0.16915028327134168,-0.1710526086790004,-0.17280317383487717,-0.17436142975353938,-0.17572035662333252,-0.17775136237754385,-0.1796345626342428,-0.18133429250615
