Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
GOOGL,-0.0776523729157077,-0.08095254860449697,-0.0833034163740003,-0.08616433761747955,-0.08801749507877588,-0.09003483959683628,-0.0922158809948892,-0.0938761570958252,-0.09494414164375903,-0.09610538593258994,-0.09748372847711706,-0.09821936966149158,-0.09888990398137931,-0.09968430938356704,-0.10024362332092845,-0.10083045102497523,-0.10116300906302717,-0.10210925874069532,-0.10262777159311393,-0.1032144971220475,-0.10377877145052533,-0.10366488597800116,-0.10370737382470419,-0.10377929285920284,-0.10351039603515055,-0.10306046197396102,-0.10260110521450566,-0.10228116487608713,-0.10168378549644003,-0.10092674079829067,-0.10019299081818062,-0.0998831619423321,-0.09979889011929383,-0.09944403635229193,-0.09892560338854423,-0.09819484396096373
NOW,-0.07525444479530913,-0.0772035667582659,-0.07876958829343472,-0.0798369685038991,-0.08096828824356123,-0.08095076239778654,-0.08073924173279051,-0.08139790041251127,-0.08184473393816072,-0.08230472056912558,-0.0829138100863338,-0.0827827848800684,-0.08374836903586264,-0.08412145880570632,-0.08513341100084865,-0.0857260674581346,-0.08772175301886453,-0.0889005860257237,-0.09055016901443586,-0.09189977190611548,-0.09359264871654938,-0.09513823129216042,-0.09743393337737,-0.09895507491779926,-0.10041108246682318,-0.10156478356810839,-0.10328763238840222,-0.10487195273161293,-0.10710652725559144,-0.10819843674549806,-0.10974727156024194,-0.11183786673565604,-0.11302619419137577,-0.11497760889765912,-0.11570028187992515,-0.11839784747439491
SAP,-0.08259343738628483,-0.08221642630275339,-0.08164761634045398,-0.08133686530591211,-0.08104231561414843,-0.08109379658192029,-0.08142096531546278,-0.08149420629102377,-0.08129718779337869,-0.08179316486489596,-0.08206661574247098,-0.0820095444557346,-0.08249481274220499,-0.08344994221150209,-0.08437221808125994,-0.08520969942275597,-0.08623714498548157,-0.08740075863901076,-0.08849199399800417,-0.09009025861818681,-0.09099917637411459,-0.09215761351380575,-0.09319032039819458,-0.09358156492701225,-0.09331136410469532,-0.09328307710473649,-0.09294219724486757,-0.09269645581466462,-0.09270345858944512,-0.09229875688854072,-0.09198728287728786,-0.0919520446586487,-0.09170704542545838,-0.09174058857214845,-0.0916005202325672,-0.09167468507409143
CRM,-0.054707909773076546,-0.058123216285550505,-0.061476998716913034,-0.06419579522541774,-0.06629231119853413,-0.06824910747223456,-0.07000243564881736,-0.07110210125921923,-0.07228882413480159,-0.07299889555786121,-0.07328474623880021,-0.0731133785018459,-0.0735612940836517,-0.07388085447651088,-0.07497327374004326,-0.0752046459140096,-0.07667050472387232,-0.07862243986559292,-0.0811068874953001,-0.08343669976679335,-0.08521471182747986,-0.08729795684978586,-0.08974301781377952,-0.09185857594160124,-0.09399600305162792,-0.09574893728955136,-0.09826816511560277,-0.10015536761264743,-0.10265157947901843,-0.10465881038166613,-0.10699715067881621,-0.1094101995829258,-0.1123200482377345,-0.11478118596061332,-0.11586821554458376,-0.118426317463251
QCOM,-0.10321428324399545,-0.09989372617343945,-0.09646560811271337,-0.09303336718650596,-0.0895395066126286,-0.08646664933022635,-0.08344470412885235,-0.08072578274002756,-0.07795029637065576,-0.0758481948107026,-0.07364653785038472,-0.07135880838870673,-0.06977176511499378,-0.06827124333421014,-0.06681766631551356,-0.06531680657521399,-0.06425297562667209,-0.06294913959366488,-0.061686628037855296,-0.06094009303330428,-0.059816793657016754,-0.05933026186065132,-0.058437866034652675,-0.05689706756664986,-0.05492885445657314,-0.052992169775500475,-0.05124559563057485,-0.049513262410384395,-0.048057934890783416,-0.04660124453915904,-0.0451930355023088,-0.04410375415647777,-0.04265917298933164,-0.04163788709208682,-0.040667860147269974,-0.039453977607568635
AAPL,-0.07335810974588536,-0.07266348641586412,-0.0718540390654746,-0.07119250658940612,-0.07019663645040974,-0.06937520365331912,-0.06850388084775799,-0.06766279398438091,-0.06671599574239379,-0.06634889109353448,-0.06586832619379468,-0.06496422555864906,-0.06470472015066336,-0.06447383277704039,-0.06428189388045225,-0.06391481929223458,-0.06370401549184918,-0.06342800362281187,-0.06313867863394729,-0.06289440193245083,-0.062287705188311615,-0.06176946896844132,-0.061204202422098175,-0.06007695179128192,-0.058518769634070045,-0.05701251866528845,-0.055471253585112346,-0.054011943643383964,-0.05249116898202438,-0.050416155414267916,-0.0484799533331971,-0.046986029248554106,-0.04507164757188237,-0.0432541112251974,-0.0412406526980304,-0.039542634608621674
CSCO,-0.02637517140594231,-0.02712358639345841,-0.027839816849505927,-0.028049733636081542,-0.02871404202040473,-0.028665946636998618,-0.028470781810230883,-0.028503465477828227,-0.029021521268787598,-0.0302645280270738,-0.03145309721819478,-0.03204674978634747,-0.034122351566666764,-0.036010544592398275,-0.03853026048389874,-0.04090634782714442,-0.04397749759915304,-0.046888527340168795,-0.050114861762927065,-0.052913452796433,-0.05559283051378672,-0.05850883565680759,-0.061715208655778786,-0.06409565687051105,-0.06675416294408137,-0.06920856438954487,-0.07197704966285978,-0.07463589010285554,-0.07773993225815845,-0.07998251876598,-0.08209855790589804,-0.08527731366044972,-0.08730762118370927,-0.09028307431769966,-0.09248132246461033,-0.0957502738329134
TSLA,-0.02792845779377101,-0.02711546930425257,-0.026450914132800873,-0.026147247679296326,-0.02555192636655812,-0.025490832569175725,-0.025580439296232604,-0.025620732822583314,-0.025291466302275967,-0.02573924248968895,-0.02635107370279527,-0.026580808560972002,-0.027678291129578814,-0.029038698750636582,-0.03037811560063458,-0.031548626727496865,-0.032715665407472116,-0.03432750379308869,-0.036207682128339136,-0.03811911212969088,-0.03958271975377409,-0.04138797653760784,-0.04311563162109672,-0.04415145293568784,-0.044226398667852884,-0.04474333777886419,-0.044704564273606306,-0.045018727613381826,-0.04528024549776283,-0.04445182433220274,-0.04425388018327814,-0.04455096850393847,-0.044177740623356276,-0.04416246978589805,-0.04351866252367337,-0.043730931262378314
ADBE,-0.014808800059419813,-0.01635509340532415,-0.016849176405278887,-0.018124351150218654,-0.018071815933105917,-0.01893465781908893,-0.01974127258937114,-0.020046908386687656,-0.02014615914810075,-0.02071967313151396,-0.021158658019553023,-0.021650175457621046,-0.02223092597917886,-0.023101827829052735,-0.02361514876760673,-0.024227636987737278,-0.024914780979163997,-0.02628459917764292,-0.027432255378548598,-0.02906113586813619,-0.0304475315237292,-0.031866855602403155,-0.03279795081286668,-0.033863705293725066,-0.03394278724501837,-0.034180599094840114,-0.03401039603771522,-0.034390734928885724,-0.03380579929558042,-0.034011545992736814,-0.03450680459295502,-0.03494958321778596,-0.035161225673799534,-0.035111587425570134,-0.03529214423525728,-0.03513261239451959
ASML,-0.010654103438602514,-0.011782247956409808,-0.012649451875519246,-0.013767923652446779,-0.015195725613022903,-0.0162778038557177,-0.01741308820776888,-0.01827744289620742,-0.019272701695299654,-0.02084749898614685,-0.02192313278775543,-0.02226905046240707,-0.023366438570498915,-0.024756023352194956,-0.026241710105787963,-0.02665881806130399,-0.027957443151408745,-0.02848874355989295,-0.029197617726215375,-0.030089119548352472,-0.030407416646975105,-0.03089381993945739,-0.03149085672686758,-0.03125346639309118,-0.030506274341989437,-0.029879133600093144,-0.029360570242220108,-0.0288187186270788,-0.02867465438886241,-0.0282951731908217,-0.028103711466127,-0.028409423754127028,-0.027888004611245687,-0.02772963178296972,-0.027325785052078777,-0.027951313430509994
