Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
AMD,-0.027295637025185115,-0.035121012874893,-0.042744871747126156,-0.049538480332833756,-0.057000370266995226,-0.06300065937004606,-0.0685689143329758,-0.07398393022560157,-0.07944896313763683,-0.08375408770904846,-0.0876415175502735,-0.091432249093167,-0.09462022782802865,-0.0974171570657299,-0.10072402497739874,-0.10353535270265907,-0.10816161288837528,-0.11256706031522518,-0.11769281568931272,-0.12239245976938684,-0.12766049761674425,-0.1331067792727249,-0.1389031016969654,-0.14625954591753143,-0.15403850798265528,-0.1614730912265604,-0.1700800574120171,-0.17809322920030818,-0.1865856488720401,-0.19598573796452623,-0.20491515943659733,-0.21305890410438372,-0.22186303519210904,-0.23013951581924252,-0.23714722978819808,-0.24539361597613196
TSM,-0.023748349601764307,-0.027850781367173782,-0.031008599912927537,-0.034051623454432633,-0.037435579997648905,-0.040532411794361844,-0.04337158035752925,-0.047239789211822036,-0.05127773939446978,-0.05539236441682516,-0.06051032272120449,-0.06581810479176126,-0.07128488121742355,-0.07672812593389516,-0.08224372253829859,-0.08901038131506206,-0.0964214790639965,-0.10398021627629234,-0.1119738290219699,-0.12035152662419368,-0.12975665157065752,-0.13918074005642106,-0.14870835614932565,-0.15828891303100112,-0.16785287512283686,-0.17797767159991285,-0.187638360902796,-0.19855008116263012,-0.20945119358742037,-0.22005236521645566,-0.23109887203178958,-0.24246471113398765,-0.25226432788904984,-0.2639805714277752,-0.2750105253979746,-0.28582061542210324
META,0.05583327599086402,0.04481636718536275,0.03326498590494009,0.022687548093019427,0.011838158201652293,0.001981346290167718,-0.007751640900212242,-0.01586414880906778,-0.024039583312913948,-0.029658413784233617,-0.03577311794722471,-0.040672149115130674,-0.045108662923955156,-0.0490007376616845,-0.05381040543679072,-0.05659460090934981,-0.059801132744240426,-0.06288439827614428,-0.06619682956479495,-0.06861938419057878,-0.07133956417873222,-0.07325302746529,-0.0763890115528153,-0.08046460328751692,-0.08441590226417128,-0.0884813944624645,-0.09375682325433393,-0.09787918192621298,-0.10289333456464134,-0.10807407653098444,-0.11322990577202763,-0.11905934212097885,-0.12422489665996894,-0.12943294965770358,-0.13450611641382088,-0.14038075807158945
IBM,0.010597426408732236,0.0064613414014039194,0.002014755040850247,-0.002387235572292812,-0.006671656266924453,-0.010147941259461224,-0.013557139350242775,-0.01657659256349897,-0.019693322586790574,-0.02207088892353476,-0.02462068627282271,-0.026991970762147433,-0.029155924005003886,-0.030993606411448438,-0.03265912684938954,-0.03431305445419691,-0.035972049016198826,-0.03784367598093091,-0.03997696323867356,-0.04149914421315959,-0.04358363231111928,-0.045543021219104085,-0.04774964586547625,-0.050954996552209586,-0.05422057203600217,-0.05762806757322103,-0.061360211800895736,-0.06496093957901233,-0.06855409735706475,-0.07248248894949494,-0.07624157963633593,-0.07977453452136157,-0.08316600360742876,-0.0865058685975878,-0.08954314173003436,-0.09307882350075924
AVGO,0.12061721509505008,0.11116106537578407,0.10243428785504016,0.09373839896404251,0.08514035256480867,0.07770880377614825,0.07087998811345597,0.06363278044554255,0.05582586864189287,0.04852947066544516,0.041597556311772976,0.034798579490882886,0.027560047315140335,0.020487071125883882,0.012845401977232107,0.006391870711943637,-0.001356756129806569,-0.008891542336394331,-0.017228445800258563,-0.024039237970131078,-0.031353983028097554,-0.03812073357097007,-0.044031731579720734,-0.05021931423426684,-0.05645966293083615,-0.06235987756275829,-0.06835899489311753,-0.07388764653916063,-0.07854677325451187,-0.08446293591361209,-0.08948145047710743,-0.09433196301517127,-0.09909819036689271,-0.10233284331666759,-0.10562227620859393,-0.11012717197413979
GOOGL,0.08463605520352574,0.0794462324328668,0.0748901782382625,0.07003599055815307,0.06559531014691777,0.0614252877653893,0.0571450325509395,0.05349560880129378,0.05010664040435092,0.04734925556572839,0.044357720491309205,0.04162490996385115,0.03964800574305716,0.03753362787476239,0.03565871940546528,0.03371774467278671,0.03220264126678751,0.030294906265660837,0.028510336414153736,0.02693176217046722,0.02503755377863287,0.023886553940729527,0.022606624284981003,0.020739558557290205,0.018634739265996125,0.01660828071829945,0.01457161121084738,0.01254836438892687,0.010782133510512382,0.008526137675141099,0.006622412972989988,0.004759661993338993,0.0023490597811451908,0.0004741306073015039,-0.0015399895350431403,-0.0032315942196637915
NOW,0.08703398332392431,0.08319521427909787,0.07942400631882807,0.07636335967173352,0.07264451698213242,0.07050936496443905,0.06862167181303819,0.06597386548460771,0.06320604810994923,0.06114992092919275,0.05892763888209246,0.05706149474527433,0.054789540688573835,0.05309647845262311,0.050768931725545086,0.04882212823962734,0.04564389731095014,0.04350357898063245,0.04058793899283181,0.03824648738639924,0.035223676512608826,0.03241320862657027,0.02888006473231519,0.02556377649869379,0.021734052834323503,0.01810395912415208,0.013885084036950823,0.009957576533401069,0.005359391751360965,0.0012544417279337083,-0.002931867769071339,-0.007195042799984952,-0.010878244290936756,-0.015059441938065687,-0.018314668026424064,-0.023434597733094975
SAP,0.07969499073294861,0.07818235473461038,0.07654597827180881,0.07486346286972051,0.07257048961154522,0.0703663307803053,0.06793994823036592,0.0658775596060952,0.06375359425473126,0.06166147663342236,0.05977483322595528,0.05783473516960813,0.05604309698223148,0.05376799504682733,0.05153012464513379,0.04933849627500597,0.047128505344333105,0.0450034063673454,0.04264611400926349,0.04005600067432791,0.037817148855043614,0.035393826404924944,0.03312367771149061,0.030937286489480798,0.028833771196451363,0.026385665587523977,0.024230519180485466,0.022133073450349372,0.019762460417507288,0.017154121584891047,0.014828120913882747,0.01269077927702239,0.010440904474980639,0.008177578387444984,0.005785093620933879,0.0032885646672085045
CRM,0.1075805183461569,0.10227556475181326,0.09671659589534976,0.09200453295021488,0.08732049402715952,0.08321101988999102,0.07935847789701134,0.07626966463789975,0.07276195791330836,0.07045574594045712,0.06855670272962605,0.06673090112349683,0.06497661564078477,0.06333708278181854,0.060929068986350476,0.059343549783752336,0.056695145605942354,0.05378172514076324,0.05003122051196757,0.04670955952572137,0.04360161340167834,0.04025348306894483,0.036570980295905664,0.03266027547489181,0.02814913224951876,0.023919805402709104,0.018904551309750273,0.014674161652366569,0.00981433952793398,0.004794068091765635,-0.00018174688764560631,-0.004767375647254712,-0.010172098337295488,-0.014863019001019884,-0.01848260169108268,-0.02346306772195106
QCOM,0.05907414487523799,0.060505054863924324,0.061727986499549414,0.06316696098912666,0.06407329861306504,0.06499347803199923,0.06591620941697635,0.06664598315709142,0.06710048567745419,0.06760644668761573,0.06819491111804155,0.06848547123663601,0.06876614460944269,0.06894669392411928,0.06908467641088017,0.06923138912254795,0.06911267470314258,0.06945502541269127,0.06945147996941237,0.06920616625921044,0.06899953157214145,0.06822117805807937,0.06787613207503251,0.06762178384984319,0.06721628084457354,0.06667657291675999,0.0659271207947782,0.0653162668546296,0.06440798411616899,0.06285163393427273,0.061622368288861806,0.06053906977919332,0.05948877691110738,0.05828027986750661,0.05671775370623111,0.0555092721337313
