Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
SAP,0.023861714742084594,0.03336598754924763,0.04328099236686872,0.05217591477670108,0.060732331409892926,0.06838498449013758,0.07569158913057816,0.08174170841516298,0.08779317756764521,0.09131989041765598,0.09554795117317999,0.0985068842847388,0.10115175990618663,0.10276873270851183,0.10534053008192451,0.10593309718435578,0.10692963808857353,0.10788780464348968,0.10884294357405844,0.10867538486490669,0.10915671303377583,0.10864685387021494,0.1095126892643059,0.11140188977699772,0.11324967346062265,0.11486706004998848,0.1179873424348194,0.12001225537656235,0.12265579498214862,0.1252281981158755,0.12805802668591038,0.13175012139800124,0.13466580113494958,0.13761052804514856,0.14029121003475475,0.14366932273879796
CRM,0.05174724235529288,0.057459197566450515,0.06345160999040966,0.06931698485719545,0.07548233582550723,0.0812296735998233,0.08711011879722358,0.09213381344696753,0.09680154122622231,0.10011415972469073,0.10432982067685076,0.1074030502386275,0.11008527856473993,0.11233782044350304,0.1147394744231412,0.11593815069310215,0.11649627835018278,0.11666612341690752,0.11622805007676251,0.11532894371630015,0.11494117758041056,0.11350651053423483,0.11295999184872096,0.11312487876240873,0.11256503451369004,0.1124011998651736,0.1126613745640842,0.11255334357857955,0.11270767409257532,0.11286814462275008,0.11304815888438202,0.11429196647372414,0.11405279832267345,0.1145699306566837,0.1160235147227382,0.11691769034963839
QCOM,0.003240868884373971,0.015688687678561575,0.028463000594609322,0.040479412896107236,0.05223514041141275,0.06301213174183151,0.07366785031718859,0.0825101319661592,0.09114006899036814,0.09726486047184935,0.10396802906526625,0.10915762035176668,0.11387480753339785,0.11794743158580379,0.1228950818476709,0.12582599003189776,0.128913807447383,0.13233942368883556,0.1356483095342073,0.13782555044978922,0.14033909575087367,0.14147420552336937,0.1442651436278478,0.1480863871373601,0.15163218310874482,0.1551579673792245,0.15968394404911213,0.16319544878084258,0.16730131868081033,0.17092571046525717,0.17485227406088943,0.17959841190017217,0.18371367357107632,0.1877132295252102,0.191223870120052,0.19589003020532075
AAPL,0.033097042382484065,0.0429189274361369,0.05307456964184809,0.06232027349320707,0.07157801057363161,0.08010357741873875,0.08860867359828295,0.09557312072180585,0.10237436961863011,0.10676416418901746,0.1117462407218563,0.11555220318182435,0.11894185249772826,0.12174484214297354,0.1254308542827322,0.12722797731487717,0.12946276758220593,0.13186055965968857,0.13419625893811532,0.13587124155064267,0.1378681842195788,0.13903499841557937,0.1414988072404023,0.14490650291272805,0.14804226793124792,0.15113761848943652,0.15545828609457463,0.158696767547843,0.16286808458956936,0.1671107995901483,0.17156535623000113,0.17671613680809584,0.1813011989885256,0.1860970053920996,0.19065107756929156,0.19580137320426771
CSCO,0.08007998072242711,0.08845882745854261,0.09708879185781677,0.10546304644653165,0.11306060500363663,0.12081283443505925,0.12864177263581006,0.13473244922835853,0.1400688440922363,0.14284852725547814,0.1461614696974562,0.14846967895412594,0.14952422108172486,0.15020813032761565,0.15118248767928572,0.15023644877996734,0.14918928547490207,0.14840003594233164,0.14722007580913554,0.1458521906866605,0.1445630588941037,0.1422956317272131,0.1409878010067217,0.14088779783349892,0.1398068746212366,0.1389415727651801,0.1389524900168272,0.13807282108837143,0.1376193213134353,0.1375444362384362,0.1379467516573002,0.13842485239620023,0.1390652253766987,0.13906804229959735,0.13941040780271163,0.139593733979976
TSLA,0.07852669433459841,0.08846694454774845,0.09847769457452182,0.10736553240331687,0.11622272065748324,0.12398794850288214,0.13153211514980834,0.13761518188360344,0.14379889905874793,0.147373812792863,0.1512634932128557,0.1539356201795014,0.1559682815188128,0.15717997616937734,0.15933463256254987,0.1595941698796149,0.160451117666583,0.16096105948941175,0.16112725544372347,0.16064653135340262,0.16057316965411633,0.15941649084641285,0.15958737804140377,0.16083200176832213,0.16233463889746508,0.16340679937586078,0.16622497540608067,0.16768998357784515,0.17007900807383092,0.17307513067221347,0.1757914293799201,0.17915119755271147,0.18219510593705168,0.18518864683139896,0.1883730677436486,0.19161307655051107
ADBE,0.09164635206894961,0.09922732044667687,0.10807943230204381,0.11538842893239454,0.12370283109093544,0.13054412325296894,0.1373712818566698,0.1431890063194991,0.14894420621292315,0.15239338215103798,0.15645590889609795,0.15886625328285237,0.16141564666921276,0.1631168470909612,0.16609759939557772,0.16691515961937448,0.1682520020948911,0.16900396410485752,0.169902682193514,0.1697045076149573,0.16970835788416122,0.16893761178161754,0.1699050588496338,0.1711197494102849,0.1726182503202996,0.17396953805988485,0.17691914364197175,0.17831797626234125,0.18155345427601333,0.1835154090116794,0.1855385049702432,0.18875258283886398,0.19121162088660842,0.19423952919172688,0.19659958603206468,0.2002113954183698
ASML,0.09580104868976691,0.10380016589559121,0.11227915683180345,0.11974485643016641,0.12657892141101845,0.13320097721634017,0.13969946623827206,0.14495847180997934,0.14981766366572424,0.1522655562964051,0.15569143412789554,0.15824737827806634,0.1602801340778927,0.16146265156781897,0.1634710380573965,0.16448397854580776,0.16520933992264636,0.1667998197226075,0.16813731984584723,0.16867652393474103,0.16974847276091531,0.1699106474445633,0.1712121529356329,0.1737299883109188,0.17605476322332853,0.17827100355463182,0.18156896943746687,0.18388999256414817,0.18668459918273134,0.1892317818135945,0.19194159809707123,0.19529274230252291,0.19848484194916227,0.2016214848343273,0.20456594521524318,0.2073926943823794
ADI,0.04902616350905764,0.06103562068497509,0.07348442667433519,0.08529519920736539,0.096929072057171,0.10774482224385429,0.11844054094440887,0.12757308681681162,0.13646745651978803,0.1430045225754767,0.14997196593225626,0.15569067340189852,0.16084321963085862,0.1654458108908441,0.17077743241906768,0.17426183401930978,0.17785811771568005,0.18147750104451482,0.18514126110600365,0.18806648394965025,0.19128378215650865,0.19355598634107157,0.19708207871138889,0.20156356234576578,0.20575917141573474,0.2101619659175719,0.2156383026750256,0.22028192789152679,0.22573155573414516,0.23135263771731268,0.23706602639891494,0.2435003430873685,0.24930492098583135,0.25539464275602874,0.26132118096922025,0.26794714115490315
AMAT,0.042442471202645715,0.055737892348601326,0.06929052495851096,0.08216237273027294,0.09482104200898439,0.10665446232254289,0.11831204298771919,0.12818306187286,0.13759967121965777,0.1445132645664463,0.15173069533219335,0.15798385511796909,0.16327039732741494,0.16815455559507742,0.17356783218199318,0.17737956706717073,0.18109378468490323,0.1850630937606625,0.18858165964105594,0.19158615245874044,0.1946914397651227,0.196766777619578,0.20012958189610197,0.20445714706872903,0.20862994065512414,0.21295639786784176,0.21802464027934437,0.22258276420979367,0.22789624776055878,0.233340265306329,0.2390395253501857,0.2452149639968309,0.250961513248434,0.2572714910289033,0.2632978910491298,0.2697168516425951
