Model,Split,RSE(window),R2-Score,MASE,SMAPE,MAPE,MSE,MAE,RMSE,RAE,Hist-RSE,Global-RSE,Corr
ARIMA,val,1.7389,-3.1737,0.4175,0.0630,0.1103,0.4964,0.4277,0.5505,1.6397,0.5072,6.5460,0.2377
ARIMA,test,1.7532,-3.0174,0.5557,0.0783,0.1342,0.8879,0.5686,0.7023,1.7842,0.6564,7.4463,0.2153
VAR,val,5.7081,-56.3258,0.8518,0.1504,0.2466,2.2140,0.9363,1.3412,4.7392,1.1574,13.8242,-0.0089
VAR,test,13.3147,-286.6288,2.2743,0.3643,0.5865,15.4498,2.4275,3.5541,11.2743,3.1569,31.0615,-0.3655
LSTM,val,1.5882,-3.9389,0.2844,0.0438,0.0885,0.1943,0.3167,0.3795,1.6323,0.3363,4.0953,0.5057
LSTM,test,1.5641,-2.4389,0.4066,0.0577,0.1113,0.3881,0.4361,0.5253,1.6547,0.4817,4.9231,0.6291
MTGNN,val,2.1203,-6.4988,0.4479,0.0679,0.1261,0.4829,0.4741,0.5897,2.1052,0.5333,6.4563,0.3036
MTGNN,test,1.7762,-2.6496,0.5455,0.0777,0.1396,0.7843,0.5695,0.6917,1.7948,0.6386,6.9984,0.2501
ARIMA+Transformer,val,1.8839,-5.1349,0.3211,0.0481,0.0967,0.2578,0.3545,0.4504,1.8299,0.3966,4.7173,0.4831
ARIMA+Transformer,test,1.6131,-2.7555,0.4072,0.0565,0.1074,0.4192,0.4323,0.5442,1.5976,0.4991,5.1167,0.5255
