Iter	hps	sum	rrse	rrae	corr	smape	valid rse	valid r2	valid mase	valid smape	valid mape	valid mse	valid mae	valid rmse	valid rae	valid hist_rse	valid global_rse	valid corr	test rse	test r2	test mase	test smape	test mape	test mse	test mae	test rmse	test rae	test hist_rse	test global_rse	test corr	best_epoch
0	[1, 0.0005, 8, 12, 32, 48, 7, 0.6, 2, 64, 0.2, 0.1, 3, True]	1.8677523	1.8677523	1.8600214	0.20881681	0.060008254	1.8677523	-4.2127376	0.492759	0.060008254	0.10266711	0.35145098	0.38519225	0.466381	1.8600214	0.425186	4.988483	0.20881681	1.567241	-1.5390993	0.559641	0.057045884	0.103540674	0.47738084	0.42918688	0.527613	1.5293661	0.499864	5.050317	0.2715383	3
1	[2, 0.0003, 12, 8, 16, 64, 7, 0.4, 1, 64, 0.1, 3, 2, True]	1.8576648	1.8576648	1.8433567	0.4923278	0.053156037	1.8576648	-4.0165367	0.483075	0.053156037	0.10097011	0.3439153	0.38009694	0.461189	1.8433567	0.418456	4.934713	0.4923278	1.3275211	-1.1304415	0.426460	0.043941893	0.08337376	0.29973328	0.3293295	0.410066	1.2861375	0.392225	4.001784	0.5895536	34
2	[1, 0.0003, 12, 8, 16, 64, 7, 0.5, 1, 10, 0.05, 0.1, 2, True]	1.8978277	1.8978277	1.8840572	0.49871445	0.05389557	1.8978277	-4.303839	0.491069	0.05389557	0.10332347	0.3604015	0.3891354	0.470300	1.8840572	0.423764	5.051605	0.49871445	1.2864227	-1.0295858	0.411716	0.042566676	0.08082021	0.28251702	0.31924218	0.396195	1.2440244	0.378205	3.885156	0.6135784	66
3	[2, 0.0008, 12, 12, 24, 48, 5, 0.6, 1, 30, 0.1, 1, 2, True]	1.7206012	1.7206012	1.7083454	0.43128055	0.051997535	1.7206012	-3.2389824	0.475479	0.051997535	0.09801997	0.39042288	0.39737925	0.479462	1.7083454	0.415219	5.257796	0.43128055	1.4177558	-2.0290918	0.424216	0.04303261	0.08352354	0.28178895	0.34074563	0.418470	1.4163412	0.386417	3.880146	0.6097194	56
4	[1, 0.0003, 8, 8, 24, 32, 15, 0.4, 1, 20, 0.05, 1, 3, True]	1.9026195	1.9026195	1.8705498	0.20833172	0.05871868	1.9026195	-4.4199286	0.496644	0.05871868	0.10191618	0.36801627	0.3885226	0.467348	1.8705498	0.424838	5.104693	0.20833172	1.5266623	-1.4034163	0.530802	0.05480431	0.09948442	0.43514743	0.40824112	0.505049	1.4738023	0.477908	4.821746	0.27423757	5
5	[1, 0.0008, 8, 8, 24, 64, 15, 0.6, 2, 40, 0.2, 0.1, 3, True]	1.8179203	1.8179203	1.8138238	0.47118405	0.05246813	1.8179203	-4.228268	0.482494	0.05246813	0.10155881	0.35050344	0.3842082	0.464598	1.8138238	0.416047	4.981754	0.47118405	1.2955248	-0.9888525	0.413434	0.04302413	0.08144845	0.28114623	0.32106665	0.398718	1.2468339	0.379402	3.875719	0.59308034	14
6	[1, 0.0008, 12, 12, 16, 64, 15, 0.4, 1, 10, 0.2, 1, 3, True]	1.8303422	1.8303422	1.8195096	0.21163864	0.057517927	1.8303422	-3.7949724	0.483472	0.057517927	0.10054376	0.3463194	0.37926656	0.458964	1.8195096	0.416826	4.951930	0.21163864	1.4434643	-1.1640391	0.511651	0.05269293	0.095655456	0.41429988	0.3919365	0.486118	1.3906199	0.462943	4.704826	0.3183904	2
7	[1, 0.0008, 8, 12, 24, 48, 9, 0.4, 1, 30, 0.05, 0.1, 3, True]	1.6485283	1.6485283	1.6444849	0.4001628	0.049770374	1.6485283	-2.5005305	0.444674	0.049770374	0.091444805	0.35039797	0.36849326	0.445335	1.6444849	0.386715	4.981004	0.4001628	1.3084434	-1.022086	0.405143	0.041727405	0.07971696	0.2305447	0.30909774	0.389337	1.2574164	0.375232	3.509649	0.571261	63
8	[1, 0.0005, 8, 16, 16, 48, 15, 0.5, 1, 64, 0.1, 3, 3, True]	1.8618991	1.8618991	1.8315585	0.46866602	0.0525304	1.8618991	-4.2256637	0.474233	0.0525304	0.10057001	0.34078524	0.37679324	0.458963	1.8315585	0.412571	4.912205	0.46866602	1.2962285	-1.0762798	0.407092	0.04223754	0.08074375	0.26758257	0.31456244	0.391516	1.2538362	0.375458	3.781073	0.5974735	34
9	[2, 0.0005, 12, 12, 24, 64, 7, 0.5, 1, 64, 0.05, 3, 2, True]	1.928434	1.928434	1.8810326	0.48631132	0.05334927	1.928434	-4.8477955	0.487457	0.05334927	0.1036311	0.35065356	0.38899353	0.474382	1.8810326	0.424704	4.982820	0.48631132	1.3389354	-1.1958469	0.426101	0.043956313	0.0835671	0.30224597	0.33061263	0.412995	1.2890868	0.393765	4.018522	0.58684665	26
