Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
CRM,0.023431712755239642,0.023097217830920946,0.021413329906005973,0.019831609460759514,0.01780019029930774,0.016426020005171682,0.013543160929048281,0.012157723522338182,0.010384699184397772,0.008743890590982739,0.0072551544615407915,0.007227169161827474,0.005235876068976186,0.002909688968106394,0.0010930142239838903,-0.0007753800551401624,-0.00190990947421521,-0.003618320003087816,-0.005224631260422941,-0.007603059885283092,-0.009341238760122828,-0.010537025009990098,-0.011744765302845961,-0.012728422815646456
NOW,0.002418622248040958,0.004156336765754387,0.006971045205088677,0.009326163345663108,0.012089410526279265,0.014481122480596964,0.01687315724514621,0.017607958472046492,0.01974805978218741,0.02093106582102955,0.021297650969634874,0.021794313068937976,0.022970607668782728,0.022998450676736282,0.023869598686607263,0.02443121768108425,0.025672095712252097,0.025145056926755838,0.02457968056449833,0.02301593438344607,0.022551366536385564,0.02164529352868927,0.02102660331251338,0.019994650956504212
SAP,-0.0042837407438551245,0.0013687345836144171,0.007242070621875818,0.013020874148930328,0.018566458068596414,0.024630578782665613,0.030595194765518474,0.035043431440718364,0.04006672805148648,0.04486890999493476,0.04948235336490803,0.05370916030337536,0.05807302092868677,0.06211541286540684,0.06718023074913398,0.07195326735914376,0.07694819046105505,0.08033244110164,0.08449511978716445,0.08724149473885923,0.0909409897269215,0.09361354577800668,0.0971115530921991,0.10061746822337359
AAPL,0.005172975902673904,0.010599106815128656,0.01631706343498368,0.02225156755334856,0.02798869270990556,0.03463494419638968,0.04027780738067299,0.04556078206052788,0.051462942546499635,0.05731223792881007,0.06296505670702324,0.06827478699527428,0.07335266142823621,0.0784966042755812,0.08521576973382877,0.09118499072783653,0.09686899390919701,0.1018824797235382,0.10725493434206612,0.11109590623401766,0.11669886851094802,0.12066376394277178,0.12548385277718443,0.1310997988492439
QCOM,-0.024643755131933842,-0.015427368060222046,-0.005789624972446006,0.0037685333034478408,0.013215533489259412,0.022936552528989185,0.032168108928817774,0.040056006446282544,0.04870934856485992,0.05671018376793391,0.06411080251311879,0.07137404072064474,0.07850508893394087,0.0855130884760067,0.0935242961190092,0.10089982015546362,0.10848186335313098,0.11424551778299247,0.12072171421833972,0.1258936823074085,0.13259158268756743,0.13793944065694824,0.143917079702104,0.14997148856939246
ORCL,0.14535949707554965,0.14019452370840996,0.13423843089062826,0.12841233457884943,0.12264449526079141,0.11759026476495027,0.11216575441446619,0.10639501292409614,0.10028018286854895,0.09541866817937733,0.08849196640377471,0.08393014383801028,0.07987289880895176,0.07374865778577794,0.06898280817238878,0.06462201856301703,0.06004303692736063,0.05516429757019281,0.05037923391701421,0.04561057042666117,0.04024042014272666,0.035717051230615415,0.03092140735235005,0.02526293089329623
CSCO,0.0515798268668492,0.055433341552442617,0.05943470569825793,0.06358367845158536,0.06725323450411586,0.07210768970783354,0.075748733254702,0.07943313550088893,0.08352641077763157,0.08744612132517843,0.09115265036714865,0.0949772918020147,0.09828334856352311,0.10180367773320881,0.10696196003501846,0.1114642387444783,0.11558948596883822,0.11880408088951866,0.12307087547265938,0.12545517254515948,0.12935267035276554,0.13123330745866452,0.13466370202239114,0.13862684379576606
ADBE,0.06294916240731041,0.06633757785132832,0.0697972837602932,0.07326359531320648,0.07646709080773434,0.08046202227327365,0.08375243821224981,0.08673576195469657,0.09022249837042551,0.09348394988177267,0.09663554442337119,0.10001343478364899,0.10286333972532724,0.10528657871308633,0.10921808102935537,0.11252840685939625,0.11607057936175103,0.11870327768180133,0.12158369118646084,0.12361654978651127,0.12631264970699235,0.12847401452081442,0.13122682838223165,0.13426429702797432
TSLA,0.049657167487928144,0.054927796824288055,0.06031733798927885,0.0654180910574535,0.07071057462409697,0.07624810766466855,0.0809482699668812,0.0851049112573306,0.09015498245954795,0.09466657228279923,0.09883339583145412,0.10314695692486797,0.10709708130176793,0.11015399712735757,0.11496250240620792,0.11907148557201402,0.12321514509149029,0.12647284072233078,0.12991489895934488,0.13201764222380608,0.13517073758277343,0.13750610493633797,0.1401393279900489,0.1428855971300686
ASML,0.06766622202878436,0.07120600122963178,0.07389498465902,0.0776897302341707,0.08018574602208162,0.08497896803496802,0.08723850324411708,0.08897637914824152,0.09103460874327596,0.09524913223427645,0.09830382412577038,0.10053940427822017,0.10279385969858496,0.10596913830500332,0.11112290262140884,0.11449188051892001,0.11823158026193709,0.12196867936617545,0.12646385030508173,0.12938582445489283,0.13468864563167482,0.13812000607553,0.1425675206745119,0.14774482595449678
ADI,0.020900448095823476,0.029239763196125645,0.0380275093928788,0.046606434449417755,0.05544662355863422,0.06440336645915845,0.07304290163333077,0.08001690957350122,0.08824978103197523,0.09579730198245978,0.10304656119283956,0.10971402815861825,0.11668945015778187,0.12294357206638251,0.13088822685435703,0.1380589987207192,0.14560279223098582,0.15126272047975897,0.15742930943692912,0.1616873204326827,0.16822252722685715,0.17306219758815278,0.17846777885334825,0.18451944771215056
AMAT,0.01456631552112242,0.024318496867169026,0.034510212007778374,0.04463849293266925,0.05479176200677227,0.06487210430979878,0.0749631271278498,0.08333968959727528,0.09258256199400455,0.10097171265510618,0.10903751351389895,0.1165099194744682,0.12412575445284402,0.13136764790105643,0.1398829223032465,0.14785069031105363,0.15583917759022298,0.1616762306928331,0.16844214515290734,0.17337192700189785,0.18016209822134588,0.18506048053371993,0.1908277360965197,0.19695115546840608
PANW,0.07806711854307219,0.08363299612903746,0.08920767425818843,0.09499930424035324,0.10069086964890211,0.10653562499817065,0.11149481162211,0.1156517893546743,0.12074640481141569,0.12541705666997627,0.12993178794835658,0.13413230122034248,0.1380794453277283,0.1413244654332389,0.14652987581700389,0.15066750271106244,0.15536054036727748,0.15871943373537706,0.16247802622639318,0.1645032739547196,0.16814235237516412,0.17063733514591561,0.17380471717318025,0.1768272820797928
