Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
CRM,0.008865397234117223,-0.0012212790362480797,-0.0130968821017724,-0.024806883471909735,-0.03699157170746453,-0.0484460843046271,-0.06141996619880152,-0.0711819660749371,-0.08219786280960678,-0.09222782206412344,-0.10178235905235816,-0.10928275031264073,-0.11888987838386783,-0.12845795893295003,-0.1387899080792626,-0.1486260703661938,-0.1577490870644382,-0.16529455069592092,-0.17366677641333028,-0.18097498688718094,-0.1895033369814687,-0.19559750554371003,-0.20257250139936567,-0.20967957828405254
NOW,-0.012147693273081461,-0.02016216010141464,-0.027539166802689696,-0.03531232958700614,-0.042702351480493006,-0.05039098182920182,-0.058089969882703596,-0.06573173112522879,-0.07283450221181714,-0.08004064683407663,-0.08773986254426408,-0.09471560640553023,-0.10115514678406129,-0.10836919722432015,-0.11601332361663924,-0.12341947262996938,-0.13016708187797088,-0.13653117376607726,-0.143862464588409,-0.15035599261845178,-0.15761073168496031,-0.16341518700503066,-0.16980113278400633,-0.17695650451190187
SAP,-0.018850056264977544,-0.02294976228355461,-0.027268141385902556,-0.03161761878373892,-0.03622530393817586,-0.04024152552713317,-0.04436793236233133,-0.048296258156556915,-0.052515833942518075,-0.056102802660171425,-0.05955516014899093,-0.06280075917109285,-0.06605273352415725,-0.06925223503564959,-0.07270269155411252,-0.07589742295190988,-0.07889098712916792,-0.0813437895911931,-0.08394702536574289,-0.08613043226303863,-0.08922110849442438,-0.09144693475571325,-0.09371618300432061,-0.0963336872450325
AAPL,-0.009393339618448515,-0.01371939005204037,-0.018193148572794693,-0.022386925379320688,-0.02680306929686671,-0.0302371601134091,-0.03468531974717681,-0.0377789075367474,-0.04111961944750492,-0.04365947472629611,-0.04607245680687572,-0.04823513247919392,-0.05077309302460781,-0.052871043625475234,-0.05466715256941773,-0.0566656995832171,-0.05897018368102597,-0.0597937509692949,-0.06118721081084122,-0.06227602076788019,-0.06346322971039786,-0.06439671659094814,-0.06534388331933527,-0.0658513566191622
QCOM,-0.03921007065305626,-0.03974586492739107,-0.04029983698022438,-0.04086995962922141,-0.04157622851751286,-0.0419355517808096,-0.04279501819903203,-0.043283683150992736,-0.04387321342914463,-0.044261528887172275,-0.04492671100078016,-0.045135878753823466,-0.04562066551890315,-0.045854559425049735,-0.046358626184237306,-0.04695087015559002,-0.047357314237091996,-0.04743071290984063,-0.047720430934567626,-0.04747824469448936,-0.047570515533778446,-0.047121039876771686,-0.04691065639441572,-0.04697966689901362
ORCL,0.13079318155442723,0.11587602684124093,0.09972821888284988,0.08377384164618018,0.06785273325401914,0.052718160455151486,0.037202627286616385,0.023055323326820865,0.0076976208745443975,-0.005553044475728852,-0.02054554711012424,-0.03257977563645792,-0.04425285564389225,-0.05761899011527849,-0.07090011413085773,-0.08322867174803661,-0.09579614066286235,-0.10651193312264029,-0.11806291123589313,-0.12776135657523668,-0.13992167807861922,-0.1493434293031045,-0.15990632874416966,-0.17168822457510985
CSCO,0.03701351134572678,0.03111484468527359,0.024924493690479554,0.018945185518916108,0.012461472497343584,0.007235585398034761,0.0007856061268521897,-0.00390655409638635,-0.009056151216372987,-0.013525591329927755,-0.017884863146750307,-0.021532627672453508,-0.025842405889320907,-0.02956397016784762,-0.03292096226822805,-0.03638645156657533,-0.04024969162138475,-0.04287214980331444,-0.04537126968024796,-0.047916754456738375,-0.05080942786858034,-0.05382717307505541,-0.056164034074128566,-0.05832431167264002
ADBE,0.04838284688618799,0.042019080984159296,0.03528707175251483,0.028625102380537226,0.021675328800962068,0.015589917963474864,0.008789311084400009,0.003396072357421287,-0.002360063623579045,-0.007487762773333517,-0.012401969090527765,-0.016496484690819213,-0.021262414727516776,-0.026081069187970096,-0.03066484127389113,-0.03532228345165739,-0.03976859822847195,-0.04297295301103177,-0.0468584539664465,-0.04975537721538659,-0.053849448514353526,-0.05658646601290551,-0.059600907714288054,-0.06268685844043176
TSLA,0.035090851966805725,0.03060929995711903,0.02580712598150048,0.02077959812478425,0.015918812617324696,0.011376003354869768,0.005985142839031399,0.0017652216600553272,-0.002427579534456603,-0.00630514037230695,-0.010204117682444835,-0.013362962549600232,-0.01702867315107609,-0.021213650773698856,-0.02492041989703858,-0.02877920473903961,-0.03262403249873269,-0.03520338997050232,-0.03852724619356246,-0.04135428477809178,-0.04499136063857245,-0.04755437559738196,-0.050688408106470795,-0.05406555833833748
ASML,0.05309990650766194,0.04688750436246275,0.03938477265124163,0.033051237301501446,0.025393984015309345,0.020106863725169233,0.012275376116267278,0.005636689550966245,-0.0015479532507285954,-0.005722580420829737,-0.010733689388128576,-0.015970515196248036,-0.021331894754259062,-0.02539850959605311,-0.028760019681837667,-0.033358809792133626,-0.03760759732828589,-0.03970755132665765,-0.041978294847825615,-0.043986102547005024,-0.04547345258967106,-0.04694047445818994,-0.04826021542200781,-0.0492063295139093
ADI,0.006334132574701057,0.004921266328956619,0.0035172973851004263,0.001967941516748506,0.0006548615518619516,-0.0004687378506403328,-0.0019202254945190345,-0.0033227800237740635,-0.004332780962029326,-0.005174410672646401,-0.005990952321059395,-0.006795891315849956,-0.007436304295062146,-0.008424075834673916,-0.008994695448889478,-0.00979169159033444,-0.010236385359237155,-0.010413510213074129,-0.01101283571597822,-0.011684606569215161,-0.011939570994488724,-0.011998282945567151,-0.01235995724317146,-0.012431707756255517
PANW,0.06350080302194977,0.059314499261868436,0.054697462250410056,0.050360811307683995,0.045899107642129844,0.04166352068837187,0.0365316844942602,0.032312099757399015,0.028163842817411133,0.024445344014870085,0.020894274434457627,0.01762238174587427,0.013953690874884295,0.009956817532182471,0.006646953513757381,0.0028168124000088057,-0.0004786372229454994,-0.0029567969574560427,-0.005964118926514161,-0.008868653047178265,-0.012019745846181762,-0.014423145387804315,-0.01702301892333946,-0.020123873388613267
