Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
GOOGL,-0.023431712755239642,-0.023097217830920946,-0.021413329906005973,-0.019831609460759514,-0.01780019029930774,-0.016426020005171682,-0.013543160929048281,-0.012157723522338182,-0.010384699184397772,-0.008743890590982739,-0.0072551544615407915,-0.007227169161827474,-0.005235876068976186,-0.002909688968106394,-0.0010930142239838903,0.0007753800551401624,0.00190990947421521,0.003618320003087816,0.005224631260422941,0.007603059885283092,0.009341238760122828,0.010537025009990098,0.011744765302845961,0.012728422815646456
MU,-0.10689908430026024,-0.09908373215164917,-0.08933766644902624,-0.07968842559700706,-0.06938462403984669,-0.05958244869940882,-0.04841047761677042,-0.04020141380877035,-0.03076343776012036,-0.021892944227615285,-0.013682448476452613,-0.0073920217620021544,0.0013116782062752574,0.009803650007649045,0.019491994242969712,0.028527655331299473,0.036807669831550816,0.043885397112883084,0.05170890053526361,0.05844605541369563,0.06677008094342846,0.07260700871755349,0.07922951298932057,0.08612683667426624
NOW,-0.021013090507198684,-0.01894088106516656,-0.014442284700917296,-0.010505446115096406,-0.005710779773028474,-0.001944897524574718,0.0033299963160979273,0.00545023494970831,0.009363360597789638,0.01218717523004681,0.014042496508094082,0.014567143907110502,0.01773473159980654,0.020088761708629888,0.022776584462623373,0.025206597736224412,0.027582005186467307,0.028763376929843654,0.02980431182492127,0.03061899426872916,0.03189260529650839,0.032182318538679366,0.03277136861535934,0.03272307377215067
SAP,-0.027715453499094767,-0.02172848324730653,-0.014171259284130155,-0.006810735311829186,0.0007662677692886755,0.008204558777493931,0.017052033836470193,0.022885707918380183,0.029682028867088706,0.03612501940395202,0.042227198903367236,0.046481991141547885,0.05283714485971058,0.059205723897300444,0.0660872165251501,0.07272864741428392,0.07885809993527026,0.08395076110472782,0.08971975104758739,0.09484455462414232,0.10028222848704432,0.10415057078799678,0.10885631839504506,0.11334589103902004
AAPL,-0.018258736852565738,-0.01249811101579229,-0.005096266471022293,0.0024199580925890474,0.010188502410597822,0.018208924191218,0.02673464645162471,0.0334030585381897,0.04107824336210186,0.04856834733782733,0.055709902245482446,0.06104761783344681,0.06811678535926002,0.0755869153074748,0.08412275550984488,0.0919603707829767,0.09877890338341222,0.10550079972662602,0.11247956560248906,0.11869896611930075,0.12604010727107084,0.13120078895276188,0.1372286180800304,0.14382822166489034
QCOM,-0.048075467887173484,-0.03852458589114299,-0.02720295487845198,-0.016063076157311673,-0.0045846568100483265,0.006510532523817503,0.018624947999769492,0.027898282923944362,0.03832464938046215,0.04796629317695117,0.056855648051578,0.06414687155881726,0.07326921286496468,0.0826033995079003,0.09243128189502531,0.10167520021060378,0.11039177282734619,0.11786383778608028,0.12594634547876266,0.1334967421926916,0.14193282144769026,0.14847646566693834,0.15566184500494995,0.16269991138503892
ORCL,0.12192778432031001,0.11709730587748901,0.11282510098462228,0.10858072511808992,0.10484430496148367,0.10116424475977859,0.09862259348541791,0.09423728940175796,0.08989548368415118,0.08667477758839459,0.08123681194223392,0.07670297467618281,0.07463702273997558,0.07083896881767154,0.06788979394840489,0.06539739861815719,0.06195294640157584,0.05878261757328063,0.05560386517743715,0.05321363031194426,0.04958165890284949,0.04625407624060551,0.04266617265519601,0.03799135370894269
CSCO,0.028148114111609557,0.03233612372152167,0.038021375792251955,0.04375206899082584,0.049453044204808116,0.05568166970266186,0.06220557232565371,0.06727541197855075,0.0731417115932338,0.07870223073419569,0.08389749590560786,0.08775012264018722,0.09304747249454692,0.09889398876510241,0.10586894581103456,0.11223961879961847,0.11749939544305343,0.12242240089260648,0.12829550673308232,0.13305823243044257,0.13869390911288837,0.14177033246865461,0.1464084673252371,0.15135526661141252
ADBE,0.03951744965207077,0.043240360020407376,0.04838395385428723,0.05343198585244696,0.0586669005084266,0.06403600226810197,0.07020927728320153,0.07457803843235838,0.07983779918602774,0.08474005929078993,0.0893803899618304,0.09278626562182152,0.09762746365635105,0.10237688974497994,0.10812506680537148,0.11330378691453641,0.11798048883596624,0.12232159768488915,0.12680832244688378,0.13121960967179436,0.13565388846711518,0.13901103953080451,0.1429715936850776,0.14699271984362078
TSLA,0.026225454732688502,0.03183057899336711,0.03890400808327288,0.045586481596693984,0.05291038432478923,0.05982208765949687,0.06740510903783292,0.07294718773499242,0.07977028327515018,0.0859226816918165,0.09157824136991333,0.0959197877630405,0.10186120523279174,0.10724430815925118,0.11386948818222403,0.11984686562715419,0.1251250545657055,0.1300911607254186,0.13513953021976782,0.13962070210908917,0.14451197634289625,0.14804312994632807,0.15188409329289487,0.15561401994571505
ASML,0.04423450927354472,0.04810878339871083,0.05248165475301403,0.05785812077341118,0.06238555572277388,0.06855294802979633,0.0736953423150688,0.07681865562590334,0.08064990955887819,0.0865052416432937,0.09104866966422959,0.0933122351163927,0.09755798362960877,0.10305944933689692,0.11002988839742495,0.11526726057406017,0.1201414897361523,0.12558699936926326,0.13168848156550467,0.13698888434017592,0.14402988439179765,0.14865703108552009,0.15431228597735785,0.16047324877014324
ADI,-0.002531264659416166,0.006142545365204699,0.016614179486872827,0.02677482498865824,0.037646433259326484,0.04797734645398677,0.05949974070428249,0.06785918605116303,0.07786508184757746,0.08705341139147704,0.09579140673129877,0.10248685899679078,0.11145357408880568,0.12003388309827612,0.12979521263037314,0.13883437877585936,0.14751270170520103,0.1548810404828468,0.16265394069735206,0.16929038031796578,0.17756376598697998,0.18359922259814287,0.1902125441561942,0.19724787052779702
AMAT,-0.008865397234117223,0.0012212790362480797,0.0130968821017724,0.024806883471909735,0.03699157170746453,0.0484460843046271,0.06141996619880152,0.0711819660749371,0.08219786280960678,0.09222782206412344,0.10178235905235816,0.10928275031264073,0.11888987838386783,0.12845795893295003,0.1387899080792626,0.1486260703661938,0.1577490870644382,0.16529455069592092,0.17366677641333028,0.18097498688718094,0.1895033369814687,0.19559750554371003,0.20257250139936567,0.20967957828405254
