Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
AMZN,-0.2538712706271542,-0.2602633948390838,-0.26749055227681523,-0.2745519109093044,-0.2819871887085203,-0.28858266977509056,-0.2961301872652361,-0.3027455683709148,-0.30965238071781365,-0.31537277145990666,-0.32145941893622076,-0.3267759850732606,-0.33247064667006265,-0.338235683221722,-0.3445648918428824,-0.35069729299681585,-0.35657592158143014,-0.36051912375922335,-0.36586501982449476,-0.36959357945379434,-0.37523286187174615,-0.3784077294756418,-0.3827859199088681,-0.3878047548546625
INTC,-0.17483735448441173,-0.17828473569718895,-0.1819441967360081,-0.1851965389418665,-0.18877024228815215,-0.1917931807396504,-0.19533300046137503,-0.1980194427807117,-0.20082357691327424,-0.20371341281921046,-0.2069421473493276,-0.20921750294456626,-0.2118963767211628,-0.21356175370393388,-0.2163425672447734,-0.21829706706808882,-0.2207409000334164,-0.2224148015555133,-0.2244247022702454,-0.2257908594927679,-0.22762613202066823,-0.2291448178787408,-0.23108478664814536,-0.23276828747174272
AMD,-0.026961224241645543,-0.0386112317446638,-0.053333701964864144,-0.06525321677203921,-0.07992980602117289,-0.08999863233304345,-0.10642804258268168,-0.11887676582657059,-0.1332999746449106,-0.14012750037158556,-0.14828697691860815,-0.15814976359919514,-0.16903898375845527,-0.17719413173631043,-0.18406683098867294,-0.1939160430639003,-0.20309092266355722,-0.20601573010494134,-0.20964235117722468,-0.21340405698809617,-0.21722163935840894,-0.2188747003134665,-0.22183104309156731,-0.22421681492529266
META,0.05588017950988067,0.04017521791101014,0.023094477058222485,0.006622059817097736,-0.01158311349012614,-0.02771072355777826,-0.04537378248825641,-0.058910645972465314,-0.07461498998009841,-0.08921200331627926,-0.10422649707561471,-0.11632485044751745,-0.1303559586969183,-0.14196593050717482,-0.1571009967722652,-0.17007465512731879,-0.18413624748248836,-0.19509050521857474,-0.20601684697870765,-0.21377035706165481,-0.22679537522513576,-0.2358166727087167,-0.24597761793317052,-0.2576839119087604
TSM,-0.024016004774022992,-0.028754617503890967,-0.03403723085874283,-0.03892708661658878,-0.045026151023822736,-0.04977014884197134,-0.055836258412799045,-0.06037128572146899,-0.06592687700061595,-0.07108862271712407,-0.0759930406494006,-0.07969469887802288,-0.08513474976691482,-0.09007367779806369,-0.09490417718712918,-0.09994260051967552,-0.10495337493225954,-0.10923375495588628,-0.11333819713280263,-0.1169026117894384,-0.12210544825032327,-0.12647051340722965,-0.12996755413016048,-0.13452969601292541
IBM,0.010751513432105342,0.004785054057867333,-0.0016521016530140487,-0.00799975550980625,-0.014620305816891,-0.020280753786281247,-0.02642870899563271,-0.031551314058376356,-0.03733712975018877,-0.04198511302612146,-0.04667069359984122,-0.050968138860440215,-0.055422175959956466,-0.05944143567528942,-0.06364407018370477,-0.06760950644930219,-0.07212501015849648,-0.07524017081261791,-0.07920079421697962,-0.08199895390306933,-0.08568064233254241,-0.08888440731751884,-0.09193586384355046,-0.09478464965716349
AVGO,0.11911933066977126,0.10815868410399476,0.09688257128734118,0.08565976382732537,0.07306102257209618,0.06170665189580132,0.050684709197991396,0.04094780895879263,0.029402363188444525,0.018126880340745888,0.006768999049556634,-0.003224241662035776,-0.014073957957659755,-0.022335821865259786,-0.03414747439793642,-0.04357000619536833,-0.053563852814955126,-0.06308631866278558,-0.07204803293602874,-0.07945167485676818,-0.08942330358298706,-0.09788884800598435,-0.10527810223001333,-0.11401300318286844
GOOGL,0.0834673715450206,0.07598651432072823,0.06792433654302027,0.05985681613624755,0.05158443374053895,0.04315642869423714,0.03486731668772214,0.028043690286432166,0.020378738575722588,0.013149053636632546,0.006427294014911822,0.00016485260017468084,-0.006547554275251444,-0.01271333897575544,-0.020585008466953603,-0.02775227527615931,-0.034897760357335605,-0.04026707710979527,-0.04648426927484067,-0.05084299552841254,-0.05742884218330563,-0.06206998370756339,-0.06748474768647461,-0.07339841385861978
CRM,0.10689908430026024,0.09908373215164917,0.08933766644902624,0.07968842559700706,0.06938462403984669,0.05958244869940882,0.04841047761677042,0.04020141380877035,0.03076343776012036,0.021892944227615285,0.013682448476452613,0.0073920217620021544,-0.0013116782062752574,-0.009803650007649045,-0.019491994242969712,-0.028527655331299473,-0.036807669831550816,-0.043885397112883084,-0.05170890053526361,-0.05844605541369563,-0.06677008094342846,-0.07260700871755349,-0.07922951298932057,-0.08612683667426624
NOW,0.08588599379306155,0.08014285108648261,0.07489538174810895,0.06918297948191066,0.06367384426681821,0.0576375511748341,0.05174047393286835,0.04565164875847866,0.04012679835791,0.034080119457662095,0.027724944984546696,0.021959165669112657,0.016423053393531284,0.010285111700980842,0.0032845902196536603,-0.003321057595075061,-0.009225664645083509,-0.01512202018303943,-0.021904588710342343,-0.02782706114496647,-0.034877475646920064,-0.04042469017887412,-0.04645814437396123,-0.05340376290211557
SAP,0.07918363080116547,0.07735524890434264,0.07516640716489609,0.07287769028517788,0.07015089180913536,0.06778700747690275,0.06546251145324061,0.06308712172715053,0.060445466627209066,0.058017963631567304,0.05590964737981985,0.05387401290355004,0.051525466653435326,0.0494020738896514,0.04659522228218038,0.04420099208298445,0.04205043010371945,0.04006536399184474,0.03801085051232378,0.03639849921044669,0.03351214754361587,0.03154356207044329,0.029626805405724488,0.027219054364753803
AAPL,0.0886403474476945,0.08658562113585688,0.08424139997800395,0.08210838368959611,0.07957312645044451,0.07779137289062682,0.07514512406839513,0.07360447234696005,0.07184168112222222,0.07046129156544262,0.06939235072193506,0.06843963959544896,0.06680510715298477,0.06578326529982575,0.06463076126687517,0.06343271545167722,0.061971233551861404,0.06161540261374293,0.06077066506722545,0.06025291070560512,0.05927002632764239,0.05859378023520839,0.057999105090709824,0.057701384990624105
QCOM,0.058823616413086754,0.06055914626050618,0.062134711570574264,0.06362534943969539,0.06479996722979836,0.06609298122322632,0.06703542561653991,0.06809969673271471,0.06908808714058251,0.06985923740456645,0.07053809652803061,0.07153889332081942,0.07195753465868943,0.07279974950025125,0.0729392876520556,0.0731475448793043,0.07358410299579538,0.0739784406731972,0.07423744494349904,0.07505068677899596,0.0751627405042618,0.07586945694938485,0.07643233201562938,0.07657307471077268
