Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12
META,0.29896564333374087,0.2968387407679584,0.29394257371890664,0.2909938297950101,0.28820388161452914,0.28293035006712447,0.2804004325951899,0.2783830618257621,0.2762316880190152,0.27190848413615143,0.26744732750426303,0.26482092762914544,0.2620411381404262,0.2573635997734107,0.25387900962566534,0.2516689945748144,0.2471172584844321,0.24088112281207064,0.23765798202634425,0.2347526930999858,0.22854817670723915,0.223028867435196,0.21805163565750574,0.20923153759233593
TSM,0.2190694590498372,0.2279089053530573,0.23681086580194133,0.24544468336132358,0.25476084408083255,0.2608709247829314,0.26993795667064724,0.27692242207675843,0.2849198009984977,0.2900318647353066,0.29568078393047714,0.30145107919864,0.30726234707042965,0.30925585248252185,0.31607582921080135,0.32180104918245767,0.32630013103466093,0.3267378730747591,0.33033663187224926,0.33162043837220223,0.33323810368205165,0.33237502673668307,0.3340616994605158,0.3323857534881709
IBM,0.25383697725596555,0.2614485769148156,0.2691959950076701,0.2763720144681061,0.2851666892877643,0.2903603198386215,0.2993455060878136,0.30574239373985107,0.31350954824892485,0.31913537442630924,0.3250031309800365,0.3301776392162227,0.336974920877388,0.3398880946052961,0.34733593621422576,0.354134143252831,0.359128495808424,0.36073145721802746,0.3644740347880723,0.3665240962585713,0.3696629095998325,0.36996113282639387,0.3720933897471258,0.3721307998439328
AVGO,0.36220479449363147,0.36482220696094303,0.36773066794802534,0.37003153380523773,0.37284801767675146,0.37234772552070405,0.3764589242814377,0.37824151675702006,0.38024904118755815,0.3792473677931766,0.3784428236294344,0.3779215364146271,0.3783231388796847,0.37699370841532576,0.3768325319999941,0.37817364350676486,0.37768965315196534,0.3728853093678598,0.37162679606902316,0.36907137530487244,0.36592024834938786,0.36095669213792836,0.35875115136066293,0.35290244631822787
GOOGL,0.3265528353688808,0.3326500371776765,0.3387724332037044,0.3442285861141599,0.35137142884519423,0.35379750231913987,0.3606415317711684,0.3653373980846596,0.3712254165748362,0.37426954108906324,0.37810111859478956,0.38131063067683757,0.38584954256209303,0.3866161913048301,0.39039499793097693,0.3939913744259739,0.39635574560958486,0.3957045509208501,0.3971905597302112,0.3976800546332281,0.3979147097490693,0.3967755564363493,0.39654450590420165,0.39351703564247653
MU,0.2430854638238602,0.25666352285694827,0.27084809666068416,0.28437176997791236,0.2997869951046553,0.31064107362490273,0.3257742150834463,0.3372937077982274,0.3508466779991136,0.3611204874524307,0.37167382457987774,0.3811457780766629,0.3923970968373445,0.39932953028058554,0.41098000639793053,0.4217436497021332,0.43125350596692047,0.4359716280306454,0.4436748290050519,0.4485230501616406,0.4553435519323749,0.4588455401439127,0.46402925359067626,0.4669154495010963
CRM,0.34998454812412044,0.35574725500859744,0.3601857631097104,0.3640601955749194,0.369171619144502,0.37022352232431155,0.3741846927002167,0.3774951216069978,0.381610115759234,0.383013431680046,0.38535627305633036,0.38853779983866504,0.3910854186310692,0.3895258802729365,0.3914880121549608,0.3932159943708337,0.39444583613536965,0.3920862309177623,0.3919659284697883,0.390076994747945,0.38857347098894646,0.3862385314263592,0.3847997406013557,0.3807886128268301
NOW,0.32897145761692176,0.3368063739434309,0.3457434784087931,0.353554749459823,0.3634608393714735,0.36827862479973683,0.37751468901631463,0.3829453565567061,0.3909734763570236,0.3952006069100928,0.39939876956442444,0.40310494374577555,0.40882015023087576,0.4096146419815664,0.4142645966175842,0.4184225921070581,0.42202784132183696,0.42084960784760594,0.42177024029470955,0.42069598901667415,0.42046607628545485,0.4184208499650386,0.41757110921671503,0.41351168659898074
SAP,0.3222690946250257,0.3340187717612909,0.34601450382558024,0.35724946026309023,0.36993788691379065,0.3784280811018055,0.3912367265366869,0.40038082952537796,0.4112921446263227,0.419138451083998,0.4275834719596976,0.43501979098021293,0.4439225634907798,0.44873160417023694,0.4575752286801109,0.46594464178511763,0.4733039360706399,0.4760369920224901,0.4816856795173757,0.4849215493720873,0.4888556994759908,0.490389102214356,0.49365605899640075,0.4941345038658501
AAPL,0.3317258112715547,0.34324914399280515,0.3550894966386881,0.36648015366750847,0.3793601215550998,0.38843244651552955,0.4009193391518414,0.4108981801451875,0.42268835912133584,0.4315817790178733,0.4410661753018128,0.44958541767211185,0.45920220399032924,0.4651127955804113,0.4756107676648057,0.4851763651538104,0.4932247395187819,0.4975870306443883,0.5044454940722773,0.5087759608672457,0.5146135782600173,0.5174393203791211,0.5220283586813861,0.5246168344917204
QCOM,0.30190908023694696,0.31722266911745445,0.3329828082312584,0.34799711941760775,0.36458696233445365,0.37673405484812905,0.3928096406999862,0.40539340453094214,0.41993476513969613,0.43097972485699715,0.44221192110790836,0.4526846713974823,0.4643546314960339,0.4721292797808368,0.4839192940499861,0.4948911945814375,0.5048376089627158,0.5099500687038425,0.5179122739485509,0.5235737369406366,0.5305062924366367,0.5347149970932976,0.5404615856063056,0.543488524211869
ORCL,0.4719123324444304,0.47284456088608645,0.4730108640943327,0.47264092069300934,0.47401592410598564,0.47138776708409014,0.4728072861856346,0.47173241100875574,0.47150559944338516,0.46968820926844057,0.4665930849985643,0.46524077451484785,0.4657224413710448,0.46036484909060804,0.4593778061033657,0.4586133929889909,0.4563987825369455,0.4508688484910429,0.44756979364722543,0.44329062505988925,0.43815512989179595,0.43249260766696473,0.4274659132565517,0.41877996653577276
CSCO,0.37813266223573,0.3880833787301191,0.39820713890196235,0.40781226456574526,0.4186246633493101,0.4259051920269734,0.4363902650258704,0.4447705335855485,0.4547518273524678,0.46171566241424167,0.4692537689619382,0.47628792247885227,0.48413289112561614,0.4884198690380389,0.4973569579659954,0.5054556131704522,0.5119452315784231,0.5145086318103688,0.5202614352028706,0.5231352271783876,0.5272673801018348,0.5280088638950138,0.5312082079265927,0.5321438794382426
ADBE,0.3895019977761912,0.3989876150290048,0.40856971696399763,0.4174921814273664,0.4278385196529286,0.4342595245924135,0.44439396998341824,0.45207316003935616,0.4614479149452617,0.4677534909708359,0.47473666301816075,0.48132406546048656,0.48871288228742027,0.49190277001791644,0.4996130789603323,0.5065197812853701,0.5124263249713359,0.5144078286026514,0.5187742509166721,0.5212966044197394,0.5242273594560616,0.5252495709571637,0.5277713342864333,0.5277813326704508
