node_id,firm_id
0,AAPL
1,ADBE
2,ADI
3,ADSK
4,AMAT
5,AMD
6,AMZN
7,ASML
8,AVGO
9,CRM
10,CSCO
11,GOOGL
12,IBM
13,INTC
14,INTU
15,KLAC
16,LRCX
17,META
18,MSFT
19,MU
20,NOW
21,NVDA
22,ORCL
23,PANW
24,QCOM
25,SAP
26,STX
27,TSLA
28,TSM
29,TXN
