Iter,hps,sum,rrse,rrae,corr,smape,valid rse,valid r2,valid mase,valid smape,valid mape,valid mse,valid mae,valid rmse,valid rae,valid hist_rse,valid global_rse,valid corr,test rse,test r2,test mase,test smape,test mape,test mse,test mae,test rmse,test rae,test hist_rse,test global_rse,test corr,best_epoch
0,"[2, 0.0003, 8, 12, 24, 32, 15, 0.6, 1, 40, 0.2, 1, 2, True]",1.5147184,1.5147184,1.5101144,0.44282833,0.022219267,1.5147184,-2.111108,0.468328,0.022219267,0.043060623,0.042748872,0.14683159,0.184682,1.5101144,0.185290,1.618668,0.44282833,1.6789634,-3.274121,0.643139,0.024540877,0.049049307,0.07589659,0.19690654,0.249979,1.6856173,0.260366,1.723431,0.44894406,26
1,"[2, 0.0008, 8, 8, 24, 32, 7, 0.5, 1, 40, 0.05, 3, 2, True]",1.5020119,1.5020119,1.5142838,0.3997244,0.024233274,1.5020119,-2.3976963,0.458975,0.024233274,0.041938912,0.04075406,0.14450504,0.180775,1.5142838,0.181193,1.580450,0.3997244,1.6006566,-2.1463988,0.688627,0.026022268,0.05075929,0.09077718,0.21367598,0.267872,1.6180632,0.273653,1.884825,0.36922422,3
2,"[2, 0.0003, 12, 8, 24, 48, 5, 0.6, 1, 30, 0.1, 0.1, 2, True]",1.5026389,1.5026389,1.4991761,0.47506407,0.021666463,1.5026389,-2.168131,0.468603,0.021666463,0.043182872,0.04265947,0.14738773,0.184117,1.4991761,0.184355,1.616974,0.47506407,1.7023759,-3.709941,0.633623,0.024164136,0.048635256,0.07168429,0.19196722,0.243244,1.7133106,0.256071,1.674923,0.47771007,21
3,"[1, 0.0008, 12, 8, 32, 32, 7, 0.5, 1, 10, 0.05, 0.1, 2, True]",1.4514575,1.4514575,1.4690843,0.42526165,0.023197265,1.4514575,-2.1911416,0.456913,0.023197265,0.041712664,0.04079443,0.14395668,0.179620,1.4690843,0.179794,1.581233,0.42526165,1.5993922,-2.355497,0.662809,0.02512907,0.049296185,0.08357804,0.20304179,0.257886,1.614085,0.266968,1.808543,0.3795843,3
4,"[1, 0.0003, 12, 16, 32, 64, 20, 0.5, 1, 20, 0.2, 0.1, 2, True]",1.5203573,1.5203573,1.5516573,0.4300926,0.023900233,1.5203573,-2.405871,0.460406,0.023900233,0.041870423,0.039681412,0.14485592,0.178849,1.5516573,0.178863,1.559513,0.4300926,1.6854033,-2.7599943,0.697367,0.026468506,0.052031256,0.08971732,0.2151039,0.269869,1.7209404,0.277394,1.873790,0.37470654,5
5,"[2, 0.0005, 12, 16, 32, 32, 20, 0.5, 2, 64, 0.05, 0.1, 2, True]",1.4825243,1.4825243,1.4831687,0.4772792,0.020947,1.4825243,-2.2718663,0.467763,0.020947,0.04283394,0.042676147,0.14726464,0.184132,1.4831687,0.184608,1.617290,0.4772792,1.6615545,-3.2889938,0.624957,0.023619141,0.047347996,0.07183671,0.19083108,0.243152,1.6791886,0.254037,1.676702,0.47448057,27
6,"[2, 0.0008, 12, 12, 24, 64, 7, 0.5, 2, 10, 0.1, 0.1, 3, True]",1.4733537,1.4733537,1.4766119,0.46793166,0.021541884,1.4733537,-2.431651,0.475034,0.021541884,0.043460615,0.044089638,0.14931862,0.187327,1.4766119,0.187486,1.643855,0.46793166,1.666329,-3.3133118,0.629157,0.024003439,0.04811103,0.07184918,0.19138609,0.243423,1.6915289,0.255508,1.676848,0.4631087,6
7,"[1, 0.0008, 12, 16, 32, 64, 9, 0.4, 1, 20, 0.2, 3, 3, True]",1.4713243,1.4713243,1.4842354,0.47936997,0.021433065,1.4713243,-2.6036334,0.475207,0.021433065,0.043384857,0.04323149,0.1496184,0.186182,1.4842354,0.186693,1.627779,0.47936997,1.6551853,-3.2626765,0.623890,0.023785757,0.047702126,0.07013435,0.1903143,0.240713,1.6799538,0.250749,1.656716,0.47166184,11
8,"[2, 0.0003, 12, 12, 16, 32, 7, 0.5, 1, 20, 0.05, 1, 2, True]",1.5019635,1.5019635,1.4843391,0.37494457,0.022402508,1.5019635,-2.1866586,0.455743,0.022402508,0.04152718,0.039324395,0.14285131,0.178221,1.4843391,0.179400,1.552481,0.37494457,1.6646543,-2.7301798,0.661810,0.024990944,0.049360774,0.08555297,0.20399003,0.263886,1.6598108,0.272414,1.829786,0.32738572,10
9,"[2, 0.0005, 12, 12, 24, 64, 5, 0.6, 2, 64, 0.05, 0.1, 2, True]",1.4639724,1.4639724,1.4545709,0.44425184,0.021445246,1.4639724,-2.144867,0.458978,0.021445246,0.042188637,0.041526157,0.14413044,0.180849,1.4545709,0.181320,1.595351,0.44425184,1.6547275,-3.0328777,0.636242,0.02402644,0.047915544,0.07615863,0.19476682,0.249981,1.6523257,0.259728,1.726404,0.43904784,13
10,"[1, 0.0008, 8, 8, 16, 48, 9, 0.4, 1, 10, 0.05, 1, 3, True]",1.5271709,1.5271709,1.5089744,0.47406167,0.021173699,1.5271709,-2.508144,0.468962,0.021173699,0.042685397,0.04283996,0.14783043,0.185355,1.5089744,0.185449,1.620391,0.47406167,1.6894892,-3.4325094,0.630724,0.02383501,0.047812536,0.07265032,0.19298571,0.245597,1.6905695,0.254745,1.686171,0.46563372,17
11,"[1, 0.0005, 12, 12, 32, 64, 5, 0.6, 1, 64, 0.05, 0.1, 2, True]",1.4819756,1.4819756,1.4887542,0.47119248,0.021532271,1.4819756,-2.1959257,0.463819,0.021532271,0.04242702,0.04081219,0.14526175,0.180649,1.4887542,0.181871,1.581577,0.47119248,1.6563885,-3.2147362,0.632866,0.023943875,0.047907215,0.07274118,0.19302504,0.244582,1.6664711,0.255118,1.687225,0.46428806,12
12,"[1, 0.0005, 12, 8, 24, 32, 5, 0.6, 1, 64, 0.05, 0.1, 2, True]",1.5538024,1.5538024,1.5200881,0.46846575,0.021591311,1.5538024,-2.3494604,0.471264,0.021591311,0.042984676,0.045191094,0.14941052,0.188813,1.5200881,0.187214,1.664262,0.46846575,1.7338605,-3.718277,0.639990,0.024238428,0.04875561,0.07504323,0.19451411,0.250749,1.7134678,0.260570,1.713715,0.45127824,24
13,"[1, 0.0005, 12, 12, 32, 64, 15, 0.6, 1, 10, 0.05, 0.1, 2, True]",1.4640677,1.4640677,1.4586167,0.45850796,0.021506336,1.4640677,-2.0793555,0.463485,0.021506336,0.042768598,0.042113706,0.14637798,0.182015,1.4586167,0.182341,1.606597,0.45850796,1.6613574,-3.2982914,0.628776,0.024003992,0.04802333,0.072303675,0.19114092,0.243521,1.6634699,0.255516,1.682143,0.47569248,17
14,"[2, 0.0008, 8, 8, 16, 48, 5, 0.4, 1, 30, 0.05, 3, 3, True]",1.5150625,1.5150625,1.500982,0.45451826,0.021609358,1.5150625,-2.407971,0.469708,0.021609358,0.04314815,0.043707553,0.1486333,0.185926,1.500982,0.184903,1.636717,0.45451826,1.7160596,-3.5628912,0.637864,0.024309654,0.04879902,0.074937955,0.19528505,0.249914,1.7125787,0.260092,1.712512,0.44672373,14
15,"[1, 0.0005, 12, 8, 24, 32, 7, 0.5, 1, 64, 0.1, 0.1, 2, True]",1.498265,1.498265,1.4707664,0.34372264,0.02289271,1.498265,-2.2822175,0.458866,0.02289271,0.042098634,0.039589047,0.14381662,0.178853,1.4707664,0.179582,1.557697,0.34372264,1.6477085,-2.4645047,0.672959,0.025446601,0.049880344,0.09158825,0.20799987,0.270187,1.6369863,0.278222,1.893227,0.30787918,5
16,"[1, 0.0005, 12, 12, 32, 64, 7, 0.6, 1, 10, 0.05, 0.1, 2, True]",1.5130725,1.5130725,1.5119958,0.44379097,0.0227291,1.5130725,-2.3860404,0.479015,0.0227291,0.044005256,0.046224184,0.15114097,0.191079,1.5119958,0.190183,1.683178,0.44379097,1.671578,-3.2516387,0.643127,0.024713285,0.049337704,0.07636967,0.19589157,0.249825,1.6837026,0.261976,1.728794,0.4554651,18
17,"[2, 0.0008, 12, 12, 32, 32, 5, 0.5, 1, 10, 0.05, 0.1, 2, True]",1.513057,1.513057,1.5189794,0.48571083,0.020943034,1.513057,-2.7091408,0.477699,0.020943034,0.043765154,0.0450798,0.15033981,0.188183,1.5189794,0.188788,1.662212,0.48571083,1.6415489,-3.2570512,0.614299,0.023181243,0.04658058,0.06776546,0.18721706,0.236712,1.658898,0.247253,1.628497,0.50874066,14
18,"[2, 0.0008, 8, 8, 24, 64, 20, 0.6, 1, 64, 0.1, 3, 3, True]",1.4805255,1.4805255,1.4760697,0.48039988,0.021136297,1.4805255,-2.4960144,0.467514,0.021136297,0.042382408,0.041511998,0.14738171,0.182374,1.4760697,0.182530,1.595079,0.48039988,1.6674292,-3.323591,0.625470,0.023664704,0.047464866,0.070954725,0.19123508,0.242437,1.6796832,0.251292,1.666378,0.47853172,9
19,"[1, 0.0005, 12, 16, 16, 48, 9, 0.4, 1, 40, 0.2, 1, 2, True]",1.4163343,1.4163343,1.4210979,0.4339265,0.022613613,1.4163343,-2.1741374,0.452449,0.022613613,0.041443847,0.03974766,0.14243415,0.177954,1.4210979,0.178272,1.560814,0.4339265,1.5604874,-2.1561275,0.652208,0.024535332,0.048064735,0.081188604,0.20024797,0.253584,1.571193,0.261191,1.782503,0.3926557,4
20,"[1, 0.0005, 12, 16, 16, 48, 9, 0.4, 1, 40, 0.2, 1, 2, True]",1.4979088,1.4979088,1.4893094,0.4719528,0.021426272,1.4979088,-2.219755,0.472585,0.021426272,0.043172427,0.04445782,0.14935075,0.186109,1.4893094,0.186073,1.650705,0.4719528,1.643003,-3.0833786,0.624535,0.023396935,0.046703495,0.0729683,0.19181179,0.244790,1.6393101,0.252032,1.689856,0.4756479,36
