Iter,hps,sum,rrse,rrae,corr,smape,valid rse,valid r2,valid mase,valid smape,valid mape,valid mse,valid mae,valid rmse,valid rae,valid hist_rse,valid global_rse,valid corr,test rse,test r2,test mase,test smape,test mape,test mse,test mae,test rmse,test rae,test hist_rse,test global_rse,test corr,best_epoch
13,"[2, 0.0005, 12, 8, 24, 48, 9, 0.6, 1, 40, 0.2, 3, 3, True]",1.5595784,1.5595784,1.5542367,0.40842018,0.016450698,1.5595784,-2.697239,0.534874,0.016450698,0.033253394,0.026350336,0.11745504,0.147337,1.5542367,0.148327,1.303567,0.40842018,1.3177286,-1.6266311,0.643638,0.016804317,0.03343403,0.03877731,0.13810894,0.173328,1.2701013,0.185546,1.134460,0.6022114,30
14,"[2, 0.0005, 12, 8, 24, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.4960912,1.4960912,1.498322,0.40759823,0.016917152,1.4960912,-2.2566607,0.536833,0.016917152,0.034020506,0.02603865,0.117561124,0.147288,1.498322,0.149110,1.295835,0.40759823,1.3333291,-1.5745201,0.671925,0.017503379,0.034650497,0.042558614,0.14350305,0.179992,1.2948577,0.192887,1.188486,0.5807727,21
15,"[2, 0.0005, 12, 8, 24, 32, 9, 0.6, 1, 20, 0.2, 3, 3, True]",1.5410289,1.5410289,1.5010315,0.38813797,0.017638434,1.5410289,-2.3376296,0.551169,0.017638434,0.034885008,0.028865222,0.1219086,0.155496,1.5010315,0.155576,1.364356,0.38813797,1.4276441,-1.9566844,0.701052,0.018322937,0.036275182,0.04621775,0.1505752,0.190094,1.3513237,0.202122,1.238525,0.55454135,23
16,"[2, 0.0005, 12, 16, 16, 48, 7, 0.6, 1, 20, 0.1, 3, 3, True]",1.442257,1.442257,1.4536692,0.41978768,0.017240517,1.442257,-2.1049926,0.537481,0.017240517,0.03439255,0.026075615,0.1178536,0.147176,1.4536692,0.148625,1.296754,0.41978768,1.3505641,-1.6244042,0.695207,0.018142276,0.035814684,0.045591466,0.14816995,0.184424,1.3156891,0.197818,1.230104,0.57552344,23
17,"[2, 0.0005, 12, 16, 16, 48, 7, 0.6, 1, 20, 0.1, 3, 3, True]",1.5096925,1.5096925,1.5127621,0.41437367,0.017174046,1.5096925,-2.5854428,0.531011,0.017174046,0.03328707,0.026408859,0.11747264,0.148282,1.5127621,0.147947,1.305014,0.41437367,1.349275,-1.688913,0.677142,0.017687675,0.03505157,0.041919712,0.14479461,0.179257,1.3073463,0.192082,1.179531,0.5968289,25
18,"[2, 0.0005, 12, 16, 16, 48, 7, 0.6, 1, 20, 0.1, 3, 3, True]",1.5068358,1.5068358,1.5032698,0.4147128,0.016735075,1.5068358,-2.448839,0.536031,0.016735075,0.033939652,0.025895417,0.11707691,0.146375,1.5032698,0.148140,1.292265,0.4147128,1.3409746,-1.7247779,0.658376,0.017180776,0.03412572,0.040212527,0.14011183,0.175451,1.2965744,0.188835,1.155263,0.5895365,28
19,"[2, 0.0005, 12, 16, 16, 48, 7, 0.6, 1, 20, 0.1, 3, 3, True]",1.6011465,1.6011465,1.574675,0.3757752,0.017307602,1.6011465,-2.6873598,0.560370,0.017307602,0.03455164,0.0295194,0.12374878,0.157031,1.574675,0.157150,1.379730,0.3757752,1.3462162,-1.55632,0.673481,0.017532872,0.034752157,0.043092508,0.14593315,0.183705,1.2799606,0.194195,1.195917,0.57959014,24
20,"[2, 0.0008, 12, 16, 16, 48, 7, 0.4, 1, 20, 0.1, 3, 3, True]",1.5411886,1.5411886,1.5281894,0.3995842,0.016711818,1.5411886,-2.4903982,0.538179,0.016711818,0.03375995,0.026794761,0.11824587,0.149682,1.5281894,0.150800,1.314514,0.3995842,1.3621136,-1.7571565,0.662457,0.017366122,0.0344869,0.04189439,0.14200172,0.180141,1.3033612,0.192765,1.179175,0.58145577,28
21,"[2, 0.0005, 12, 8, 24, 32, 9, 0.6, 1, 10, 0.2, 3, 3, True]",1.5528626,1.5528626,1.5552037,0.40869743,0.017252855,1.5528626,-2.7140853,0.545633,0.017252855,0.034751825,0.027186655,0.11981388,0.149463,1.5552037,0.150492,1.324092,0.40869743,1.3781596,-1.957905,0.665714,0.017528545,0.034938514,0.039748613,0.14195114,0.176353,1.3407105,0.189165,1.148580,0.5915089,21
22,"[2, 0.0005, 12, 8, 24, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.4786868,1.4786868,1.4790448,0.41826278,0.017165821,1.4786868,-2.2364082,0.541550,0.017165821,0.03452404,0.026739547,0.11945365,0.148485,1.4790448,0.149201,1.313159,0.41826278,1.3557408,-1.6222934,0.695006,0.018103288,0.03578329,0.04493713,0.14904043,0.184703,1.3194301,0.197174,1.221245,0.5777543,27
