date,0
2014-01-01,18.14
2014-02-01,18.14
2014-03-01,17.14
2014-04-01,17.21
2014-05-01,16.86
2014-06-01,18.0
2014-07-01,19.29
2014-08-01,17.86
2014-09-01,17.64
2014-10-01,18.14
2014-11-01,18.36
2014-12-01,17.79
2015-01-01,17.21
2015-02-01,17.07
2015-03-01,17.0
2015-04-01,17.0
2015-05-01,17.07
2015-06-01,16.36
2015-07-01,16.71
2015-08-01,15.43
2015-09-01,15.64
2015-10-01,16.36
2015-11-01,16.36
2015-12-01,16.36
2016-01-01,15.93
2016-02-01,16.14
2016-03-01,16.21
2016-04-01,16.21
2016-05-01,17.0
2016-06-01,16.14
2016-07-01,15.21
2016-08-01,14.79
2016-09-01,16.07
2016-10-01,17.0
2016-11-01,17.93
2016-12-01,17.21
2017-01-01,17.64
2017-02-01,18.14
2017-03-01,19.21
2017-04-01,19.07
2017-05-01,19.36
2017-06-01,20.14
2017-07-01,20.0
2017-08-01,19.0
2017-09-01,19.79
2017-10-01,20.64
2017-11-01,22.0
2017-12-01,20.64
2018-01-01,21.21
2018-02-01,21.64
2018-03-01,21.07
2018-04-01,21.0
2018-05-01,20.5
2018-06-01,19.71
2018-07-01,19.5
2018-08-01,19.29
2018-09-01,20.29
2018-10-01,21.07
2018-11-01,21.29
2018-12-01,20.07
2019-01-01,20.43
2019-02-01,21.64
2019-03-01,21.64
2019-04-01,21.14
2019-05-01,20.86
2019-06-01,20.64
2019-07-01,20.71
2019-08-01,20.36
2019-09-01,21.43
2019-10-01,21.79
2019-11-01,22.43
2019-12-01,20.93
2020-01-01,25.93
2020-02-01,25.07
2020-03-01,20.14
2020-04-01,20.79
2020-05-01,22.21
2020-06-01,21.93
2020-07-01,21.71
2020-08-01,20.71
2020-09-01,22.07
2020-10-01,20.5
2020-11-01,19.36
2020-12-01,19.07
2021-01-01,18.93
2021-02-01,20.0
2021-03-01,19.79
2021-04-01,19.36
2021-05-01,19.64
2021-06-01,20.21
2021-07-01,19.43
2021-08-01,18.29
2021-09-01,19.5
2021-10-01,19.64
2021-11-01,20.79
2021-12-01,19.29
2022-01-01,24.86
2022-02-01,26.0
2022-03-01,27.36
2022-04-01,26.71
2022-05-01,25.5
2022-06-01,25.64
2022-07-01,23.43
2022-08-01,22.79
2022-09-01,24.5
2022-10-01,24.57
2022-11-01,25.79
2022-12-01,25.86
2023-01-01,27.43
2023-02-01,31.0
2023-03-01,30.57
2023-04-01,30.14
2023-05-01,31.29
2023-06-01,32.64
2023-07-01,30.57
2023-08-01,29.57
2023-09-01,30.57
2023-10-01,31.0
2023-11-01,31.86
2023-12-01,30.79
2024-01-01,32.79
2024-02-01,36.07
2024-03-01,35.86
2024-04-01,35.29
2024-05-01,36.21
2024-06-01,34.0
2024-07-01,32.57
2024-08-01,33.07
2024-09-01,35.36
2024-10-01,36.21
2024-11-01,38.36
2024-12-01,37.14
2025-01-01,38.79
2025-02-01,41.43
2025-03-01,39.86
2025-04-01,40.07
2025-05-01,40.21
2025-06-01,45.64
2025-07-01,48.5
2025-08-01,87.57
2025-09-01,86.07
2025-10-01,86.86
2025-11-01,91.29
2025-12-01,86.86
