Iter	hps	sum	rrse	rrae	corr	smape	valid rse	valid r2	valid mase	valid smape	valid mape	valid mse	valid mae	valid rmse	valid rae	valid hist_rse	valid global_rse	valid corr	test rse	test r2	test mase	test smape	test mape	test mse	test mae	test rmse	test rae	test hist_rse	test global_rse	test corr	best_epoch
13	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4743593	1.4743593	1.464083	0.53523433	0.025049988	1.4743593	-1.9283875	0.424641	0.025049988	0.049204186	0.06529211	0.17839804	0.224434	1.464083	0.217099	1.996969	0.53523433	1.5733078	-2.6341085	0.514636	0.026317315	0.052266665	0.08108064	0.20278642	0.263153	1.610508	0.271772	1.878999	0.41436565	19
14	[2, 0.0005, 12, 8, 32, 64, 5, 0.5, 1, 20, 0.2, 0.1, 3, True]	1.4793038	1.4793038	1.4556066	0.5315458	0.025281532	1.4793038	-2.0452917	0.436147	0.025281532	0.050055977	0.06649378	0.18132687	0.229285	1.4556066	0.223835	2.015261	0.5315458	1.6334223	-2.9204788	0.531947	0.027305996	0.054400023	0.08749223	0.2103474	0.272484	1.6671978	0.280348	1.951879	0.38530573	38
15	[2, 0.0003, 8, 16, 16, 64, 20, 0.5, 1, 64, 0.1, 3, 3, True]	1.494653	1.494653	1.4848548	0.5425163	0.025231272	1.494653	-1.9482944	0.426063	0.025231272	0.049622256	0.06797977	0.18015642	0.225497	1.4848548	0.217010	2.037655	0.5425163	1.5631486	-2.6353164	0.504606	0.026003595	0.051801976	0.07899896	0.19989511	0.260053	1.5986518	0.267302	1.854722	0.44532034	44
16	[2, 0.0005, 8, 8, 16, 64, 7, 0.5, 1, 64, 0.1, 0.1, 3, True]	1.4810659	1.4810659	1.4637122	0.53864855	0.024964688	1.4810659	-1.9498193	0.424447	0.024964688	0.04919339	0.06740701	0.17935081	0.226125	1.4637122	0.217164	2.029053	0.53864855	1.584764	-2.6882658	0.516195	0.026590923	0.0529455	0.08189968	0.20330556	0.264761	1.619856	0.272992	1.888466	0.4245763	39
17	[2, 0.0005, 12, 8, 32, 64, 5, 0.4, 1, 64, 0.2, 3, 3, True]	1.5071913	1.5071913	1.4768859	0.52454555	0.025358697	1.5071913	-2.0748935	0.431929	0.025358697	0.05006206	0.06902739	0.1814833	0.229491	1.4768859	0.220606	2.053296	0.52454555	1.5849441	-2.8538668	0.507590	0.026483582	0.05305964	0.078484096	0.19968584	0.259037	1.6182282	0.267245	1.848668	0.44705895	26
18	[2, 0.0003, 12, 8, 32, 64, 5, 0.5, 1, 20, 0.2, 0.1, 3, True]	1.5248694	1.5248694	1.4879677	0.50915587	0.025519367	1.5248694	-2.067364	0.433955	0.025519367	0.050190974	0.07137619	0.18328947	0.231654	1.4879677	0.222818	2.087938	0.50915587	1.6231649	-2.8313632	0.525741	0.027046127	0.05390697	0.08618788	0.20862241	0.272326	1.6463684	0.278684	1.937274	0.38471702	56
19	[2, 0.0008, 8, 16, 16, 64, 5, 0.5, 1, 40, 0.1, 1, 3, True]	1.5083747	1.5083747	1.4991257	0.516512	0.025541669	1.5083747	-2.0546324	0.428174	0.025541669	0.04931359	0.06908629	0.18030803	0.228659	1.4991257	0.219882	2.054172	0.516512	1.5957069	-2.7515323	0.515563	0.02659449	0.053043906	0.08001659	0.20312405	0.262910	1.6367571	0.271340	1.866629	0.40916315	21
20	[2, 0.0005, 12, 8, 32, 48, 7, 0.5, 1, 30, 0.2, 3, 3, True]	1.526002	1.526002	1.4940915	0.53602767	0.024902977	1.526002	-2.11807	0.427622	0.024902977	0.04939699	0.06706032	0.17941423	0.227279	1.4940915	0.220118	2.023828	0.53602767	1.6189557	-2.9396498	0.516751	0.026356805	0.052586447	0.08382536	0.20457341	0.267578	1.6387383	0.273774	1.910538	0.41662195	35
21	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4226412	1.4226412	1.425039	0.4308977	0.029968621	1.4226412	-1.9911264	0.425789	0.029968621	0.049499746	0.06545492	0.1793067	0.223259	1.425039	0.215324	1.999457	0.4308977	1.5247558	-1.686484	0.593947	0.030376287	0.058206912	0.11681368	0.23617682	0.299463	1.546804	0.305964	2.255355	0.3549376	3
22	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4920459	1.4920459	1.4753175	0.53828406	0.025477434	1.4920459	-1.9961387	0.430166	0.025477434	0.049864374	0.07019112	0.18239382	0.229544	1.4753175	0.219974	2.070532	0.53828406	1.557898	-2.5751927	0.508596	0.026200596	0.052192725	0.08010823	0.20034787	0.260754	1.5897506	0.268397	1.867698	0.43415287	21
